"City";"Year";"Formal Jobs";"Jobs in Agriculture";"Jobs in Industry";"Jobs in Construction";"Jobs in Retail";"Jobs in Service";"Share of Agricultural Jobs";"Share of Industry Jobs";"Share of Construction Jobs";"Share of Retail Jobs";"Share of Service Jobs";"Cód. IBGE"
"Monteiro Lobato";"2014";"1048";"95";"87";"11";"420";"435";"9,06";"8,3";"1,05";"40,08";"41,51";3531704
"Monteiro Lobato";"2015";"676";"108";"76";"13";"109";"370";"15,98";"11,24";"1,92";"16,12";"54,73";3531704
"Monteiro Lobato";"2016";"675";"95";"76";"21";"128";"355";"14,07";"11,26";"3,11";"18,96";"52,59";3531704
"Monções";"2012";"1624";"953";"357";"13";"53";"248";"58,68";"21,98";"0,8";"3,26";"15,27";3531001
"Monções";"2013";"1798";"1040";"445";"7";"33";"273";"57,84";"24,75";"0,39";"1,84";"15,18";3531001
"Monções";"2014";"1417";"796";"328";"11";"43";"239";"56,18";"23,15";"0,78";"3,03";"16,87";3531001
"Monções";"2015";"1564";"867";"345";"5";"53";"294";"55,43";"22,06";"0,32";"3,39";"18,8";3531001
"Monções";"2016";"1751";"1034";"399";"4";"64";"250";"59,05";"22,79";"0,23";"3,66";"14,28";3531001
"Morro Agudo";"2012";"8190";"857";"3929";"82";"969";"2353";"10,46";"47,97";"1";"11,83";"28,73";3531902
"Morro Agudo";"2013";"8168";"1090";"3429";"99";"1124";"2426";"13,34";"41,98";"1,21";"13,76";"29,7";3531902
"Morro Agudo";"2014";"8392";"1002";"3839";"153";"1170";"2228";"11,94";"45,75";"1,82";"13,94";"26,55";3531902
"Morro Agudo";"2015";"9079";"1080";"4624";"75";"1145";"2155";"11,9";"50,93";"0,83";"12,61";"23,74";3531902
"Morro Agudo";"2016";"8785";"1081";"4486";"73";"1013";"2132";"12,31";"51,06";"0,83";"11,53";"24,27";3531902
"Morungaba";"2012";"12106";"211";"1753";"104";"457";"9581";"1,74";"14,48";"0,86";"3,77";"79,14";3532009
"Morungaba";"2013";"11314";"189";"1817";"100";"448";"8760";"1,67";"16,06";"0,88";"3,96";"77,43";3532009
"Morungaba";"2014";"9869";"178";"1939";"92";"448";"7212";"1,8";"19,65";"0,93";"4,54";"73,08";3532009
"Morungaba";"2015";"8210";"185";"1802";"85";"384";"5754";"2,25";"21,95";"1,04";"4,68";"70,09";3532009
"Morungaba";"2016";"6058";"197";"1803";"44";"401";"3613";"3,25";"29,76";"0,73";"6,62";"59,64";3532009
"Motuca";"2012";"408";"32";"60";"x";"50";"236";"7,84";"14,71";"7,35";"12,25";"57,84";3532058
"Motuca";"2013";"523";"44";"140";"x";"55";"252";"8,41";"26,77";"6,12";"10,52";"48,18";3532058
"Motuca";"2014";"539";"80";"132";"24";"60";"243";"14,84";"24,49";"4,45";"11,13";"45,08";3532058
"Motuca";"2015";"591";"57";"151";"27";"60";"296";"9,64";"25,55";"4,57";"10,15";"50,08";3532058
"Motuca";"2016";"627";"52";"167";"44";"68";"296";"8,29";"26,63";"7,02";"10,85";"47,21";3532058
"Murutinga do Sul";"2012";"520";"79";"9";"-";"71";"361";"15,19";"1,73";"-";"13,65";"69,42";3532108
"Murutinga do Sul";"2013";"486";"73";"11";"-";"74";"328";"15,02";"2,26";"-";"15,23";"67,49";3532108
"Murutinga do Sul";"2014";"511";"68";"10";"18";"69";"346";"13,31";"1,96";"3,52";"13,5";"67,71";3532108
"Murutinga do Sul";"2015";"495";"77";"9";"-";"62";"347";"15,56";"1,82";"-";"12,53";"70,1";3532108
"Murutinga do Sul";"2016";"524";"77";"12";"20";"71";"344";"14,69";"2,29";"3,82";"13,55";"65,65";3532108
"Nantes";"2012";"350";"84";"x";"-";"51";"202";"24";"3,71";"-";"14,57";"57,71";3532157
"Nantes";"2013";"352";"85";"-";"-";"58";"209";"24,15";"-";"-";"16,48";"59,38";3532157
"Nantes";"2014";"342";"84";"-";"-";"54";"204";"24,56";"-";"-";"15,79";"59,65";3532157
"Nantes";"2015";"367";"91";"-";"-";"65";"211";"24,8";"-";"-";"17,71";"57,49";3532157
"Nantes";"2016";"324";"67";"-";"-";"65";"192";"20,68";"-";"-";"20,06";"59,26";3532157
"Narandiba";"2012";"989";"83";"432";"-";"61";"413";"8,39";"43,68";"-";"6,17";"41,76";3532207
"Narandiba";"2013";"1045";"86";"458";"-";"81";"420";"8,23";"43,83";"-";"7,75";"40,19";3532207
"Narandiba";"2014";"1050";"82";"467";"-";"81";"420";"7,81";"44,48";"-";"7,71";"40";3532207
"Narandiba";"2015";"1033";"84";"468";"-";"75";"406";"8,13";"45,3";"-";"7,26";"39,3";3532207
"Narandiba";"2016";"1040";"77";"484";"-";"81";"398";"7,4";"46,54";"-";"7,79";"38,27";3532207
"Natividade da Serra";"2012";"717";"142";"37";"x";"130";"404";"19,8";"5,16";"0,56";"18,13";"56,35";3532306
"Natividade da Serra";"2013";"704";"150";"39";"x";"70";"439";"21,31";"5,54";"0,85";"9,94";"62,36";3532306
"Natividade da Serra";"2014";"753";"186";"38";"18";"75";"436";"24,7";"5,05";"2,39";"9,96";"57,9";3532306
"Natividade da Serra";"2015";"787";"179";"29";"13";"74";"492";"22,74";"3,68";"1,65";"9,4";"62,52";3532306
"Natividade da Serra";"2016";"716";"156";"29";"11";"78";"442";"21,79";"4,05";"1,54";"10,89";"61,73";3532306
"Nazaré Paulista";"2012";"2524";"102";"817";"114";"293";"1198";"4,04";"32,37";"4,52";"11,61";"47,46";3532405
"Nazaré Paulista";"2013";"2887";"124";"1057";"208";"309";"1189";"4,3";"36,61";"7,2";"10,7";"41,18";3532405
"Nazaré Paulista";"2014";"2778";"120";"998";"26";"372";"1262";"4,32";"35,93";"0,94";"13,39";"45,43";3532405
"Nazaré Paulista";"2015";"2805";"134";"985";"62";"402";"1222";"4,78";"35,12";"2,21";"14,33";"43,57";3532405
