"City";"Year";"Formal Jobs";"Jobs in Agriculture";"Jobs in Industry";"Jobs in Construction";"Jobs in Retail";"Jobs in Service";"Share of Agricultural Jobs";"Share of Industry Jobs";"Share of Construction Jobs";"Share of Retail Jobs";"Share of Service Jobs";"Cód. IBGE"
"Adamantina";"2012";"9045";"636";"1772";"280";"2478";"3879";"7,03";"19,59";"3,1";"27,4";"42,89";3500105
"Adamantina";"2013";"8936";"631";"1507";"284";"2631";"3883";"7,06";"16,86";"3,18";"29,44";"43,45";3500105
"Adamantina";"2014";"9312";"733";"1718";"247";"2572";"4042";"7,87";"18,45";"2,65";"27,62";"43,41";3500105
"Adamantina";"2015";"9477";"699";"1719";"265";"2657";"4137";"7,38";"18,14";"2,8";"28,04";"43,65";3500105
"Adamantina";"2016";"9716";"730";"1718";"307";"2802";"4159";"7,51";"17,68";"3,16";"28,84";"42,81";3500105
"Adolfo";"2012";"777";"400";"34";"x";"49";"294";"51,48";"4,38";"-";"6,31";"37,84";3500204
"Adolfo";"2013";"816";"406";"37";"-";"64";"309";"49,75";"4,53";"-";"7,84";"37,87";3500204
"Adolfo";"2014";"870";"389";"38";"2";"61";"380";"44,71";"4,37";"0,23";"7,01";"43,68";3500204
"Adolfo";"2015";"815";"356";"35";"4";"72";"348";"43,68";"4,29";"0,49";"8,83";"42,7";3500204
"Adolfo";"2016";"835";"356";"38";"6";"85";"350";"42,63";"4,55";"0,72";"10,18";"41,92";3500204
"Aguaí";"2012";"6107";"1286";"1586";"74";"1319";"1842";"21,06";"25,97";"1,21";"21,6";"30,16";3500303
"Aguaí";"2013";"6289";"1236";"1826";"106";"1299";"1822";"19,65";"29,03";"1,69";"20,66";"28,97";3500303
"Aguaí";"2014";"6612";"1277";"1930";"148";"1280";"1977";"19,31";"29,19";"2,24";"19,36";"29,9";3500303
"Aguaí";"2015";"7726";"2177";"1962";"221";"1353";"2013";"28,18";"25,39";"2,86";"17,51";"26,05";3500303
"Aguaí";"2016";"6576";"1299";"1958";"110";"1288";"1921";"19,75";"29,77";"1,67";"19,59";"29,21";3500303
"Águas da Prata";"2012";"948";"321";"123";"53";"93";"358";"33,86";"12,97";"5,59";"9,81";"37,76";3500402
"Águas da Prata";"2013";"956";"271";"164";"53";"100";"368";"28,35";"17,15";"5,54";"10,46";"38,49";3500402
"Águas da Prata";"2014";"959";"233";"177";"54";"90";"405";"24,3";"18,46";"5,63";"9,38";"42,23";3500402
"Águas da Prata";"2015";"995";"210";"184";"39";"120";"442";"21,11";"18,49";"3,92";"12,06";"44,42";3500402
"Águas da Prata";"2016";"962";"197";"189";"28";"130";"418";"20,48";"19,65";"2,91";"13,51";"43,45";3500402
"Águas de Lindóia";"2012";"4718";"65";"852";"54";"902";"2845";"1,38";"18,06";"1,14";"19,12";"60,3";3500501
"Águas de Lindóia";"2013";"4663";"70";"811";"89";"912";"2781";"1,5";"17,39";"1,91";"19,56";"59,64";3500501
"Águas de Lindóia";"2014";"4802";"65";"886";"93";"933";"2825";"1,35";"18,45";"1,94";"19,43";"58,83";3500501
"Águas de Lindóia";"2015";"5019";"71";"867";"141";"994";"2946";"1,41";"17,27";"2,81";"19,8";"58,7";3500501
"Águas de Lindóia";"2016";"4690";"71";"829";"98";"910";"2782";"1,51";"17,68";"2,09";"19,4";"59,32";3500501
"Águas de Santa Bárbara";"2012";"1336";"610";"125";"4";"141";"456";"45,66";"9,36";"0,3";"10,55";"34,13";3500550
"Águas de Santa Bárbara";"2013";"1287";"505";"137";"20";"143";"482";"39,24";"10,64";"1,55";"11,11";"37,45";3500550
"Águas de Santa Bárbara";"2014";"1534";"724";"189";"19";"118";"484";"47,2";"12,32";"1,24";"7,69";"31,55";3500550
"Águas de Santa Bárbara";"2015";"1654";"771";"186";"28";"140";"529";"46,61";"11,25";"1,69";"8,46";"31,98";3500550
"Águas de Santa Bárbara";"2016";"1400";"638";"165";"24";"131";"442";"45,57";"11,79";"1,71";"9,36";"31,57";3500550
"Águas de São Pedro";"2012";"1216";"x";"40";"x";"178";"995";"0,16";"3,29";"0,08";"14,64";"81,83";3500600
"Águas de São Pedro";"2013";"1366";"25";"66";"23";"218";"1034";"1,83";"4,83";"1,68";"15,96";"75,7";3500600
"Águas de São Pedro";"2014";"1462";"9";"90";"26";"254";"1083";"0,62";"6,16";"1,78";"17,37";"74,08";3500600
"Águas de São Pedro";"2015";"1268";"1";"26";"16";"225";"1000";"0,08";"2,05";"1,26";"17,74";"78,86";3500600
"Águas de São Pedro";"2016";"1346";"1";"37";"20";"267";"1021";"0,07";"2,75";"1,49";"19,84";"75,85";3500600
"Agudos";"2012";"8306";"721";"2050";"147";"1278";"4110";"8,68";"24,68";"1,77";"15,39";"49,48";3500709
"Agudos";"2013";"8660";"713";"2362";"119";"1441";"4025";"8,23";"27,27";"1,37";"16,64";"46,48";3500709
"Agudos";"2014";"8305";"779";"2090";"152";"1586";"3698";"9,38";"25,17";"1,83";"19,1";"44,53";3500709
"Agudos";"2015";"8642";"799";"2357";"129";"1457";"3900";"9,25";"27,27";"1,49";"16,86";"45,13";3500709
"Agudos";"2016";"8461";"743";"2270";"172";"1382";"3894";"8,78";"26,83";"2,03";"16,33";"46,02";3500709
"Alambari";"2012";"642";"149";"95";"x";"128";"265";"23,21";"14,8";"0,78";"19,94";"41,28";3500758
"Alambari";"2013";"822";"142";"250";"x";"131";"298";"17,27";"30,41";"0,12";"15,94";"36,25";3500758
"Alambari";"2014";"871";"140";"274";"17";"115";"325";"16,07";"31,46";"1,95";"13,2";"37,31";3500758
"Alambari";"2015";"862";"139";"225";"26";"123";"349";"16,13";"26,1";"3,02";"14,27";"40,49";3500758
"Alambari";"2016";"904";"165";"222";"27";"111";"379";"18,25";"24,56";"2,99";"12,28";"41,92";3500758
"Alfredo Marcondes";"2012";"840";"45";"352";"141";"43";"259";"5,36";"41,9";"16,79";"5,12";"30,83";3500808
"Alfredo Marcondes";"2013";"829";"51";"370";"94";"58";"256";"6,15";"44,63";"11,34";"7";"30,88";3500808
"Alfredo Marcondes";"2014";"815";"47";"370";"102";"52";"244";"5,77";"45,4";"12,52";"6,38";"29,94";3500808
"Alfredo Marcondes";"2015";"786";"55";"315";"108";"48";"260";"7";"40,08";"13,74";"6,11";"33,08";3500808
"Alfredo Marcondes";"2016";"800";"55";"406";"5";"49";"285";"6,88";"50,75";"0,63";"6,13";"35,63";3500808
"Altair";"2012";"695";"426";"x";"x";"49";"210";"61,29";"0,58";"0,86";"7,05";"30,22";3500907
"Altair";"2013";"688";"400";"24";"x";"54";"199";"58,14";"3,49";"1,6";"7,85";"28,92";3500907
"Altair";"2014";"688";"408";"8";"1";"51";"220";"59,3";"1,16";"0,15";"7,41";"31,98";3500907
"Altair";"2015";"638";"371";"4";"1";"53";"209";"58,15";"0,63";"0,16";"8,31";"32,76";3500907
"Altair";"2016";"654";"394";"3";"1";"61";"195";"60,24";"0,46";"0,15";"9,33";"29,82";3500907
"Altinópolis";"2012";"3644";"1440";"84";"120";"625";"1375";"39,52";"2,31";"3,29";"17,15";"37,73";3501004
"Altinópolis";"2013";"3856";"1477";"88";"103";"709";"1479";"38,3";"2,28";"2,67";"18,39";"38,36";3501004
"Altinópolis";"2014";"3789";"1488";"78";"67";"716";"1440";"39,27";"2,06";"1,77";"18,9";"38";3501004
"Altinópolis";"2015";"4043";"1798";"61";"79";"728";"1377";"44,47";"1,51";"1,95";"18,01";"34,06";3501004
"Altinópolis";"2016";"4036";"1887";"41";"45";"710";"1353";"46,75";"1,02";"1,11";"17,59";"33,52";3501004
"Alto Alegre";"2012";"683";"97";"209";"-";"108";"269";"14,2";"30,6";"-";"15,81";"39,39";3501103
"Alto Alegre";"2013";"716";"92";"224";"x";"118";"277";"12,85";"31,28";"0,7";"16,48";"38,69";3501103
"Alto Alegre";"2014";"751";"96";"281";"-";"98";"276";"12,78";"37,42";"-";"13,05";"36,75";3501103
"Alto Alegre";"2015";"543";"87";"50";"2";"97";"307";"16,02";"9,21";"0,37";"17,86";"56,54";3501103
"Alto Alegre";"2016";"541";"75";"51";"1";"115";"299";"13,86";"9,43";"0,18";"21,26";"55,27";3501103
"Alumínio";"2012";"6961";"14";"5169";"168";"403";"1207";"0,2";"74,26";"2,41";"5,79";"17,34";3501152
"Alumínio";"2013";"7123";"13";"5173";"264";"439";"1234";"0,18";"72,62";"3,71";"6,16";"17,32";3501152
"Alumínio";"2014";"6893";"14";"4993";"192";"426";"1268";"0,2";"72,44";"2,79";"6,18";"18,4";3501152
"Alumínio";"2015";"6479";"16";"4545";"174";"427";"1317";"0,25";"70,15";"2,69";"6,59";"20,33";3501152
"Alumínio";"2016";"6427";"18";"4546";"214";"421";"1228";"0,28";"70,73";"3,33";"6,55";"19,11";3501152
"Álvares Florence";"2012";"1344";"127";"86";"754";"40";"337";"9,45";"6,4";"56,1";"2,98";"25,07";3501202
"Álvares Florence";"2013";"901";"120";"85";"x";"44";"326";"13,32";"9,43";"36,18";"4,88";"36,18";3501202
"Álvares Florence";"2014";"672";"116";"43";"127";"37";"349";"17,26";"6,4";"18,9";"5,51";"51,93";3501202
"Álvares Florence";"2015";"651";"117";"33";"100";"37";"364";"17,97";"5,07";"15,36";"5,68";"55,91";3501202
"Álvares Florence";"2016";"618";"112";"26";"94";"36";"350";"18,12";"4,21";"15,21";"5,83";"56,63";3501202
"Álvares Machado";"2012";"2942";"159";"748";"45";"751";"1239";"5,4";"25,42";"1,53";"25,53";"42,11";3501301
"Álvares Machado";"2013";"3305";"172";"852";"66";"807";"1408";"5,2";"25,78";"2";"24,42";"42,6";3501301
"Álvares Machado";"2014";"3413";"169";"913";"159";"773";"1399";"4,95";"26,75";"4,66";"22,65";"40,99";3501301
"Álvares Machado";"2015";"3580";"162";"927";"146";"744";"1601";"4,53";"25,89";"4,08";"20,78";"44,72";3501301
"Álvares Machado";"2016";"3483";"165";"931";"128";"744";"1515";"4,74";"26,73";"3,67";"21,36";"43,5";3501301
"Álvaro de Carvalho";"2012";"340";"127";"9";"-";"24";"180";"37,35";"2,65";"-";"7,06";"52,94";3501400
"Álvaro de Carvalho";"2013";"359";"121";"12";"-";"28";"198";"33,7";"3,34";"-";"7,8";"55,15";3501400
"Álvaro de Carvalho";"2014";"433";"125";"9";"-";"43";"256";"28,87";"2,08";"-";"9,93";"59,12";3501400
"Álvaro de Carvalho";"2015";"418";"136";"8";"3";"40";"231";"32,54";"1,91";"0,72";"9,57";"55,26";3501400
"Álvaro de Carvalho";"2016";"381";"132";"6";"-";"34";"209";"34,65";"1,57";"-";"8,92";"54,86";3501400
"Alvinlândia";"2012";"397";"124";"27";"x";"25";"217";"31,23";"6,8";"1,01";"6,3";"54,66";3501509
"Alvinlândia";"2013";"374";"107";"28";"8";"25";"206";"28,61";"7,49";"2,14";"6,68";"55,08";3501509
"Alvinlândia";"2014";"370";"115";"6";"5";"20";"224";"31,08";"1,62";"1,35";"5,41";"60,54";3501509
"Alvinlândia";"2015";"333";"64";"26";"8";"20";"215";"19,22";"7,81";"2,4";"6,01";"64,56";3501509
"Alvinlândia";"2016";"363";"103";"5";"9";"22";"224";"28,37";"1,38";"2,48";"6,06";"61,71";3501509
"Americana";"2012";"79928";"54";"27185";"2992";"16812";"32885";"0,07";"34,01";"3,74";"21,03";"41,14";3501608
"Americana";"2013";"82334";"53";"27570";"3721";"16942";"34048";"0,06";"33,49";"4,52";"20,58";"41,35";3501608
"Americana";"2014";"80758";"61";"27701";"3505";"16982";"32509";"0,08";"34,3";"4,34";"21,03";"40,25";3501608
"Americana";"2015";"76611";"61";"25626";"3327";"15661";"31936";"0,08";"33,45";"4,34";"20,44";"41,69";3501608
"Americana";"2016";"72890";"88";"23541";"3252";"15512";"30497";"0,12";"32,3";"4,46";"21,28";"41,84";3501608
"Américo Brasiliense";"2012";"8640";"161";"4486";"585";"1220";"2188";"1,86";"51,92";"6,77";"14,12";"25,32";3501707
"Américo Brasiliense";"2013";"8837";"78";"4097";"992";"1276";"2394";"0,88";"46,36";"11,23";"14,44";"27,09";3501707
"Américo Brasiliense";"2014";"8693";"75";"4085";"832";"1236";"2465";"0,86";"46,99";"9,57";"14,22";"28,36";3501707
"Américo Brasiliense";"2015";"8601";"85";"4281";"678";"1211";"2346";"0,99";"49,77";"7,88";"14,08";"27,28";3501707
"Américo Brasiliense";"2016";"8582";"93";"4077";"733";"1251";"2428";"1,08";"47,51";"8,54";"14,58";"28,29";3501707
"Américo de Campos";"2012";"592";"146";"60";"x";"87";"298";"24,66";"10,14";"0,17";"14,7";"50,34";3501806
"Américo de Campos";"2013";"502";"60";"63";"x";"81";"298";"11,95";"12,55";"-";"16,14";"59,36";3501806
"Américo de Campos";"2014";"613";"41";"51";"3";"98";"420";"6,69";"8,32";"0,49";"15,99";"68,52";3501806
"Américo de Campos";"2015";"607";"58";"40";"4";"111";"394";"9,56";"6,59";"0,66";"18,29";"64,91";3501806
"Américo de Campos";"2016";"574";"50";"36";"4";"112";"372";"8,71";"6,27";"0,7";"19,51";"64,81";3501806
"Amparo";"2012";"25298";"1727";"12740";"576";"3950";"6305";"6,83";"50,36";"2,28";"15,61";"24,92";3501905
"Amparo";"2013";"25587";"1750";"12369";"819";"4160";"6489";"6,84";"48,34";"3,2";"16,26";"25,36";3501905
"Amparo";"2014";"25896";"1679";"12293";"1110";"4220";"6594";"6,48";"47,47";"4,29";"16,3";"25,46";3501905
"Amparo";"2015";"24998";"1620";"11611";"803";"4199";"6765";"6,48";"46,45";"3,21";"16,8";"27,06";3501905
"Amparo";"2016";"24374";"1554";"11351";"449";"4122";"6898";"6,38";"46,57";"1,84";"16,91";"28,3";3501905
"Analândia";"2012";"1110";"491";"163";"12";"78";"366";"44,23";"14,68";"1,08";"7,03";"32,97";3502002
"Analândia";"2013";"1020";"357";"187";"12";"85";"379";"35";"18,33";"1,18";"8,33";"37,16";3502002
"Analândia";"2014";"998";"352";"187";"7";"96";"356";"35,27";"18,74";"0,7";"9,62";"35,67";3502002
"Analândia";"2015";"1039";"354";"207";"4";"95";"379";"34,07";"19,92";"0,38";"9,14";"36,48";3502002
"Analândia";"2016";"981";"342";"180";"4";"68";"387";"34,86";"18,35";"0,41";"6,93";"39,45";3502002
"Andradina";"2012";"13696";"697";"3945";"467";"3688";"4899";"5,09";"28,8";"3,41";"26,93";"35,77";3502101
"Andradina";"2013";"14444";"815";"4187";"520";"3846";"5076";"5,64";"28,99";"3,6";"26,63";"35,14";3502101
"Andradina";"2014";"14653";"621";"4200";"484";"3947";"5401";"4,24";"28,66";"3,3";"26,94";"36,86";3502101
"Andradina";"2015";"15149";"542";"4110";"964";"3797";"5736";"3,58";"27,13";"6,36";"25,06";"37,86";3502101
"Andradina";"2016";"14667";"594";"4044";"664";"3638";"5727";"4,05";"27,57";"4,53";"24,8";"39,05";3502101
"Angatuba";"2012";"4677";"1187";"1102";"162";"866";"1360";"25,38";"23,56";"3,46";"18,52";"29,08";3502200
"Angatuba";"2013";"4917";"1348";"1156";"154";"846";"1413";"27,42";"23,51";"3,13";"17,21";"28,74";3502200
"Angatuba";"2014";"5200";"1391";"1202";"163";"935";"1509";"26,75";"23,12";"3,13";"17,98";"29,02";3502200
"Angatuba";"2015";"5729";"2008";"1160";"186";"951";"1424";"35,05";"20,25";"3,25";"16,6";"24,86";3502200
"Angatuba";"2016";"5030";"1412";"1088";"170";"910";"1450";"28,07";"21,63";"3,38";"18,09";"28,83";3502200
"Anhembi";"2012";"902";"325";"111";"x";"69";"396";"36,03";"12,31";"0,11";"7,65";"43,9";3502309
"Anhembi";"2013";"962";"356";"87";"x";"59";"459";"37,01";"9,04";"0,1";"6,13";"47,71";3502309
"Anhembi";"2014";"888";"378";"80";"9";"63";"358";"42,57";"9,01";"1,01";"7,09";"40,32";3502309
"Anhembi";"2015";"857";"376";"77";"6";"46";"352";"43,87";"8,98";"0,7";"5,37";"41,07";3502309
"Anhembi";"2016";"788";"293";"76";"8";"95";"316";"37,18";"9,64";"1,02";"12,06";"40,1";3502309
"Anhumas";"2012";"507";"153";"51";"x";"43";"254";"30,18";"10,06";"1,18";"8,48";"50,1";3502408
"Anhumas";"2013";"520";"147";"50";"x";"50";"259";"28,27";"9,62";"2,69";"9,62";"49,81";3502408
"Anhumas";"2014";"702";"163";"199";"11";"49";"280";"23,22";"28,35";"1,57";"6,98";"39,89";3502408
"Anhumas";"2015";"568";"176";"59";"5";"50";"278";"30,99";"10,39";"0,88";"8,8";"48,94";3502408
"Anhumas";"2016";"506";"147";"38";"2";"55";"264";"29,05";"7,51";"0,4";"10,87";"52,17";3502408
"Aparecida";"2012";"9624";"73";"908";"262";"2292";"6089";"0,76";"9,43";"2,72";"23,82";"63,27";3502507
"Aparecida";"2013";"10456";"67";"922";"337";"2534";"6596";"0,64";"8,82";"3,22";"24,23";"63,08";3502507
"Aparecida";"2014";"11145";"76";"777";"391";"2571";"7330";"0,68";"6,97";"3,51";"23,07";"65,77";3502507
"Aparecida";"2015";"11747";"87";"732";"332";"2805";"7791";"0,74";"6,23";"2,83";"23,88";"66,32";3502507
"Aparecida";"2016";"11750";"77";"688";"283";"2856";"7846";"0,66";"5,86";"2,41";"24,31";"66,77";3502507
"Aparecida d'Oeste";"2012";"542";"82";"103";"-";"84";"273";"15,13";"19";"-";"15,5";"50,37";3502606
"Aparecida d'Oeste";"2013";"623";"121";"108";"x";"107";"287";"19,42";"17,34";"-";"17,17";"46,07";3502606
"Aparecida d'Oeste";"2014";"632";"134";"101";"3";"117";"277";"21,2";"15,98";"0,47";"18,51";"43,83";3502606
"Aparecida d'Oeste";"2015";"613";"110";"109";"12";"96";"286";"17,94";"17,78";"1,96";"15,66";"46,66";3502606
"Aparecida d'Oeste";"2016";"612";"99";"124";"14";"95";"280";"16,18";"20,26";"2,29";"15,52";"45,75";3502606
"Apiaí";"2012";"4789";"1367";"397";"316";"870";"1839";"28,54";"8,29";"6,6";"18,17";"38,4";3502705
"Apiaí";"2013";"5202";"1615";"418";"244";"941";"1984";"31,05";"8,04";"4,69";"18,09";"38,14";3502705
"Apiaí";"2014";"5214";"1577";"585";"103";"967";"1982";"30,25";"11,22";"1,98";"18,55";"38,01";3502705
"Apiaí";"2015";"5155";"1610";"579";"74";"942";"1950";"31,23";"11,23";"1,44";"18,27";"37,83";3502705
"Apiaí";"2016";"4670";"1363";"511";"75";"963";"1758";"29,19";"10,94";"1,61";"20,62";"37,64";3502705
"Aramina";"2012";"590";"49";"3";"x";"162";"356";"8,31";"0,51";"3,39";"27,46";"60,34";3503000
"Aramina";"2013";"673";"54";"x";"x";"203";"392";"8,02";"0,45";"3,12";"30,16";"58,25";3503000
"Aramina";"2014";"650";"55";"10";"18";"213";"354";"8,46";"1,54";"2,77";"32,77";"54,46";3503000
"Aramina";"2015";"709";"64";"14";"14";"229";"388";"9,03";"1,97";"1,97";"32,3";"54,72";3503000
"Aramina";"2016";"722";"66";"6";"16";"217";"417";"9,14";"0,83";"2,22";"30,06";"57,76";3503000
"Arandu";"2012";"1434";"807";"x";"94";"73";"364";"56,28";"6,69";"6,56";"5,09";"25,38";3503109
"Arandu";"2013";"1358";"701";"x";"94";"101";"382";"51,62";"5,89";"6,92";"7,44";"28,13";3503109
"Arandu";"2014";"1320";"699";"95";"4";"122";"400";"52,95";"7,2";"0,3";"9,24";"30,3";3503109
"Arandu";"2015";"1523";"845";"84";"12";"131";"451";"55,48";"5,52";"0,79";"8,6";"29,61";3503109
"Arandu";"2016";"1254";"559";"104";"9";"118";"464";"44,58";"8,29";"0,72";"9,41";"37";3503109
"Arapeí";"2012";"408";"69";"x";"x";"42";"293";"16,91";"0,74";"0,25";"10,29";"71,81";3503158
"Arapeí";"2013";"391";"66";"x";"x";"32";"289";"16,88";"0,77";"0,26";"8,18";"73,91";3503158
"Arapeí";"2014";"396";"78";"3";"-";"41";"274";"19,7";"0,76";"-";"10,35";"69,19";3503158
"Arapeí";"2015";"411";"81";"3";"-";"40";"287";"19,71";"0,73";"-";"9,73";"69,83";3503158
"Arapeí";"2016";"373";"65";"2";"-";"41";"265";"17,43";"0,54";"-";"10,99";"71,05";3503158
"Araraquara";"2012";"74989";"1332";"18088";"4365";"16799";"34405";"1,78";"24,12";"5,82";"22,4";"45,88";3503208
"Araraquara";"2013";"75373";"743";"18289";"3727";"17439";"35175";"0,99";"24,26";"4,94";"23,14";"46,67";3503208
"Araraquara";"2014";"77332";"925";"17098";"4288";"17188";"37833";"1,2";"22,11";"5,54";"22,23";"48,92";3503208
"Araraquara";"2015";"75143";"957";"16340";"3542";"16989";"37315";"1,27";"21,75";"4,71";"22,61";"49,66";3503208
"Araraquara";"2016";"74035";"741";"14991";"2714";"16463";"39126";"1";"20,25";"3,67";"22,24";"52,85";3503208
"Araras";"2012";"37865";"1552";"13424";"1844";"7786";"13259";"4,1";"35,45";"4,87";"20,56";"35,02";3503307
"Araras";"2013";"38735";"1477";"13790";"1758";"7718";"13992";"3,81";"35,6";"4,54";"19,93";"36,12";3503307
"Araras";"2014";"38913";"1368";"13350";"2062";"7750";"14383";"3,52";"34,31";"5,3";"19,92";"36,96";3503307
"Araras";"2015";"37880";"1335";"12357";"1973";"7504";"14711";"3,52";"32,62";"5,21";"19,81";"38,84";3503307
"Araras";"2016";"36392";"1277";"12038";"1599";"6965";"14513";"3,51";"33,08";"4,39";"19,14";"39,88";3503307
"Araçariguama";"2012";"8003";"10";"4123";"342";"1309";"2219";"0,12";"51,52";"4,27";"16,36";"27,73";3502754
"Araçariguama";"2013";"8196";"7";"3936";"258";"1507";"2488";"0,09";"48,02";"3,15";"18,39";"30,36";3502754
"Araçariguama";"2014";"8631";"8";"4076";"382";"1433";"2732";"0,09";"47,23";"4,43";"16,6";"31,65";3502754
"Araçariguama";"2015";"9301";"9";"3996";"849";"1154";"3293";"0,1";"42,96";"9,13";"12,41";"35,4";3502754
"Araçariguama";"2016";"9394";"9";"3754";"957";"1674";"3000";"0,1";"39,96";"10,19";"17,82";"31,94";3502754
"Araçatuba";"2012";"52231";"1607";"8825";"2205";"15365";"24229";"3,08";"16,9";"4,22";"29,42";"46,39";3502804
"Araçatuba";"2013";"54834";"1574";"9808";"2816";"16149";"24487";"2,87";"17,89";"5,14";"29,45";"44,66";3502804
"Araçatuba";"2014";"57103";"1064";"9982";"3104";"16026";"26927";"1,86";"17,48";"5,44";"28,07";"47,16";3502804
"Araçatuba";"2015";"55507";"939";"8979";"3053";"16172";"26364";"1,69";"16,18";"5,5";"29,14";"47,5";3502804
"Araçatuba";"2016";"54027";"915";"8454";"3146";"15201";"26311";"1,69";"15,65";"5,82";"28,14";"48,7";3502804
"Araçoiaba da Serra";"2012";"4963";"371";"559";"580";"943";"2510";"7,48";"11,26";"11,69";"19";"50,57";3502903
"Araçoiaba da Serra";"2013";"5041";"417";"633";"457";"925";"2609";"8,27";"12,56";"9,07";"18,35";"51,76";3502903
"Araçoiaba da Serra";"2014";"5041";"444";"691";"291";"984";"2631";"8,81";"13,71";"5,77";"19,52";"52,19";3502903
"Araçoiaba da Serra";"2015";"5124";"433";"802";"268";"1049";"2572";"8,45";"15,65";"5,23";"20,47";"50,2";3502903
"Araçoiaba da Serra";"2016";"4680";"380";"774";"163";"953";"2410";"8,12";"16,54";"3,48";"20,36";"51,5";3502903
"Arco-Íris";"2012";"248";"23";"x";"-";"14";"196";"9,27";"6,05";"-";"5,65";"79,03";3503356
"Arco-Íris";"2013";"286";"39";"x";"x";"12";"216";"13,64";"6,29";"0,35";"4,2";"75,52";3503356
"Arco-Íris";"2014";"301";"38";"39";"4";"12";"208";"12,62";"12,96";"1,33";"3,99";"69,1";3503356
"Arco-Íris";"2015";"278";"39";"29";"-";"10";"200";"14,03";"10,43";"-";"3,6";"71,94";3503356
"Arco-Íris";"2016";"312";"30";"77";"-";"8";"197";"9,62";"24,68";"-";"2,56";"63,14";3503356
"Arealva";"2012";"1372";"324";"421";"36";"146";"445";"23,62";"30,69";"2,62";"10,64";"32,43";3503406
"Arealva";"2013";"1556";"376";"510";"30";"160";"480";"24,16";"32,78";"1,93";"10,28";"30,85";3503406
"Arealva";"2014";"2098";"950";"446";"23";"141";"538";"45,28";"21,26";"1,1";"6,72";"25,64";3503406
"Arealva";"2015";"1306";"350";"238";"17";"156";"545";"26,8";"18,22";"1,3";"11,94";"41,73";3503406
"Arealva";"2016";"1335";"379";"229";"21";"195";"511";"28,39";"17,15";"1,57";"14,61";"38,28";3503406
"Areias";"2012";"462";"97";"-";"-";"27";"338";"21";"-";"-";"5,84";"73,16";3503505
"Areias";"2013";"504";"159";"-";"x";"32";"313";"31,55";"-";"-";"6,35";"62,1";3503505
"Areias";"2014";"512";"171";"4";"5";"37";"295";"33,4";"0,78";"0,98";"7,23";"57,62";3503505
"Areias";"2015";"544";"187";"3";"2";"49";"303";"34,38";"0,55";"0,37";"9,01";"55,7";3503505
"Areias";"2016";"541";"201";"3";"-";"41";"296";"37,15";"0,55";"-";"7,58";"54,71";3503505
"Areiópolis";"2012";"1679";"447";"162";"x";"277";"789";"26,62";"9,65";"0,24";"16,5";"46,99";3503604
"Areiópolis";"2013";"1400";"250";"130";"11";"288";"721";"17,86";"9,29";"0,79";"20,57";"51,5";3503604
"Areiópolis";"2014";"1199";"247";"88";"19";"231";"614";"20,6";"7,34";"1,58";"19,27";"51,21";3503604
"Areiópolis";"2015";"1147";"178";"72";"30";"216";"651";"15,52";"6,28";"2,62";"18,83";"56,76";3503604
"Areiópolis";"2016";"1094";"188";"78";"23";"246";"559";"17,18";"7,13";"2,1";"22,49";"51,1";3503604
"Ariranha";"2012";"4076";"1677";"1527";"20";"192";"660";"41,14";"37,46";"0,49";"4,71";"16,19";3503703
"Ariranha";"2013";"4478";"1596";"1835";"31";"215";"801";"35,64";"40,98";"0,69";"4,8";"17,89";3503703
"Ariranha";"2014";"4067";"1327";"1803";"45";"215";"677";"32,63";"44,33";"1,11";"5,29";"16,65";3503703
"Ariranha";"2015";"4094";"1371";"1657";"42";"204";"820";"33,49";"40,47";"1,03";"4,98";"20,03";3503703
"Ariranha";"2016";"3977";"1376";"1701";"32";"193";"675";"34,6";"42,77";"0,8";"4,85";"16,97";3503703
"Artur Nogueira";"2012";"9489";"740";"3080";"236";"2365";"3068";"7,8";"32,46";"2,49";"24,92";"32,33";3503802
"Artur Nogueira";"2013";"11039";"773";"3092";"243";"2237";"4694";"7";"28,01";"2,2";"20,26";"42,52";3503802
"Artur Nogueira";"2014";"10619";"713";"3133";"251";"2439";"4083";"6,71";"29,5";"2,36";"22,97";"38,45";3503802
"Artur Nogueira";"2015";"11558";"721";"3026";"273";"2377";"5161";"6,24";"26,18";"2,36";"20,57";"44,65";3503802
"Artur Nogueira";"2016";"9405";"762";"2861";"169";"2361";"3252";"8,1";"30,42";"1,8";"25,1";"34,58";3503802
"Arujá";"2012";"20677";"175";"9709";"456";"3798";"6539";"0,85";"46,96";"2,21";"18,37";"31,62";3503901
"Arujá";"2013";"21729";"151";"9984";"979";"3659";"6956";"0,69";"45,95";"4,51";"16,84";"32,01";3503901
"Arujá";"2014";"23334";"188";"9759";"902";"5346";"7139";"0,81";"41,82";"3,87";"22,91";"30,59";3503901
"Arujá";"2015";"22783";"185";"9060";"718";"5681";"7139";"0,81";"39,77";"3,15";"24,94";"31,33";3503901
"Arujá";"2016";"22207";"181";"8290";"864";"5348";"7524";"0,82";"37,33";"3,89";"24,08";"33,88";3503901
"Aspásia";"2012";"246";"32";"x";"-";"22";"191";"13,01";"0,41";"-";"8,94";"77,64";3503950
"Aspásia";"2013";"240";"21";"x";"x";"24";"186";"8,75";"0,42";"3,33";"10";"77,5";3503950
"Aspásia";"2014";"243";"26";"1";"16";"19";"181";"10,7";"0,41";"6,58";"7,82";"74,49";3503950
