"Localidades";"Períodos";"Frota Total de Veículos ";"Número de Habitantes por Total de Veículos ";"Frota de Automóveis ";"Número de Habitantes por Automóvel ";"Frota de Ônibus ";"Frota de Caminhões ";"Frota de Reboques ";"Frota de Motocicletas e Assemelhados ";"Frota de Microônibus e Camionetas ";"Frota de Veículos de Outro Tipo ";"Cód. IBGE"
"Adamantina";"2013";"22969";"1,47";"12960";"2,61";"73";"919";"942";"5608";"2459";"8";3500105
"Adamantina";"2014";"23966";"1,41";"13349";"2,54";"75";"980";"1026";"5845";"2683";"8";3500105
"Adamantina";"2015";"24839";"1,36";"13725";"2,47";"73";"1000";"1070";"6104";"2859";"8";3500105
"Adamantina";"2016";"25516";"1,33";"14044";"2,41";"73";"1005";"1104";"6293";"2989";"8";3500105
"Adamantina";"2017";"26168";"1,29";"14404";"2,35";"76";"1019";"1155";"6383";"3123";"8";3500105
"Adolfo";"2013";"1826";"1,93";"1069";"3,3";"27";"99";"121";"331";"178";"1";3500204
"Adolfo";"2014";"1961";"1,79";"1128";"3,11";"28";"110";"161";"336";"197";"1";3500204
"Adolfo";"2015";"2074";"1,69";"1207";"2,9";"26";"102";"173";"351";"214";"1";3500204
"Adolfo";"2016";"2196";"1,59";"1287";"2,71";"27";"99";"171";"368";"243";"1";3500204
"Adolfo";"2017";"2307";"1,51";"1333";"2,61";"27";"102";"191";"395";"258";"1";3500204
"Aguaí";"2013";"16944";"1,96";"8950";"3,71";"162";"998";"342";"4735";"1752";"5";3500303
"Aguaí";"2014";"17911";"1,87";"9488";"3,54";"170";"1025";"339";"4990";"1893";"6";3500303
"Aguaí";"2015";"18703";"1,81";"9898";"3,43";"183";"1048";"366";"5205";"1997";"6";3500303
"Aguaí";"2016";"19453";"1,76";"10315";"3,32";"189";"1073";"392";"5382";"2096";"6";3500303
"Aguaí";"2017";"20189";"1,71";"10640";"3,25";"198";"1114";"431";"5534";"2266";"6";3500303
"Águas da Prata";"2013";"3863";"1,98";"2384";"3,21";"12";"114";"31";"808";"513";"1";3500402
"Águas da Prata";"2014";"4053";"1,89";"2495";"3,08";"13";"126";"34";"839";"544";"2";3500402
"Águas da Prata";"2015";"4212";"1,83";"2593";"2,97";"13";"126";"39";"870";"569";"2";3500402
"Águas da Prata";"2016";"4359";"1,77";"2690";"2,87";"13";"131";"46";"884";"593";"2";3500402
"Águas da Prata";"2017";"4492";"1,72";"2750";"2,81";"14";"136";"51";"911";"628";"2";3500402
"Águas de Lindóia";"2013";"10579";"1,66";"6043";"2,91";"64";"200";"95";"3042";"1134";"1";3500501
"Águas de Lindóia";"2014";"11204";"1,58";"6393";"2,77";"73";"203";"99";"3234";"1201";"1";3500501
"Águas de Lindóia";"2015";"11794";"1,51";"6720";"2,66";"72";"209";"111";"3369";"1312";"1";3500501
"Águas de Lindóia";"2016";"12244";"1,47";"6975";"2,57";"78";"214";"116";"3469";"1390";"2";3500501
"Águas de Lindóia";"2017";"12671";"1,43";"7251";"2,49";"98";"209";"123";"3539";"1449";"2";3500501
"Águas de Santa Bárbara";"2013";"3128";"1,82";"1996";"2,86";"26";"131";"99";"455";"419";"2";3500550
"Águas de Santa Bárbara";"2014";"3321";"1,73";"2092";"2,74";"33";"145";"111";"482";"456";"2";3500550
"Águas de Santa Bárbara";"2015";"3507";"1,64";"2203";"2,62";"33";"149";"133";"510";"477";"2";3500550
"Águas de Santa Bárbara";"2016";"3649";"1,59";"2282";"2,54";"35";"150";"151";"535";"494";"2";3500550
"Águas de Santa Bárbara";"2017";"3832";"1,52";"2367";"2,46";"32";"169";"169";"565";"528";"2";3500550
"Águas de São Pedro";"2013";"2192";"1,29";"1471";"1,93";"4";"45";"73";"281";"314";"4";3500600
"Águas de São Pedro";"2014";"2317";"1,24";"1550";"1,86";"5";"48";"82";"285";"343";"4";3500600
"Águas de São Pedro";"2015";"2403";"1,22";"1608";"1,82";"5";"44";"87";"306";"348";"5";3500600
"Águas de São Pedro";"2016";"2491";"1,19";"1630";"1,82";"6";"44";"88";"331";"387";"5";3500600
"Águas de São Pedro";"2017";"2554";"1,18";"1684";"1,78";"6";"44";"91";"323";"401";"5";3500600
"Agudos";"2013";"16820";"2,08";"10047";"3,49";"96";"701";"409";"3979";"1575";"13";3500709
"Agudos";"2014";"17921";"1,96";"10712";"3,29";"100";"717";"431";"4211";"1737";"13";3500709
"Agudos";"2015";"18770";"1,88";"11153";"3,17";"102";"741";"463";"4421";"1877";"13";3500709
"Agudos";"2016";"19526";"1,82";"11619";"3,06";"104";"744";"498";"4542";"2006";"13";3500709
"Agudos";"2017";"20274";"1,76";"12091";"2,95";"104";"755";"531";"4633";"2147";"13";3500709
"Alambari";"2013";"1773";"2,9";"893";"5,76";"6";"106";"30";"526";"210";"2";3500758
"Alambari";"2014";"1939";"2,7";"984";"5,33";"6";"108";"31";"576";"231";"3";3500758
"Alambari";"2015";"2060";"2,59";"1044";"5,12";"8";"106";"44";"602";"252";"4";3500758
"Alambari";"2016";"2150";"2,52";"1097";"4,95";"8";"100";"43";"625";"273";"4";3500758
"Alambari";"2017";"2299";"2,4";"1186";"4,65";"8";"101";"43";"671";"286";"4";3500758
"Alfredo Marcondes";"2013";"1876";"2,08";"1105";"3,53";"7";"79";"48";"352";"285";"-";3500808
"Alfredo Marcondes";"2014";"2039";"1,92";"1196";"3,27";"7";"84";"72";"372";"308";"-";3500808
"Alfredo Marcondes";"2015";"2169";"1,81";"1280";"3,06";"8";"82";"82";"393";"324";"-";3500808
"Alfredo Marcondes";"2016";"2246";"1,74";"1326";"2,96";"8";"84";"83";"408";"337";"-";3500808
"Alfredo Marcondes";"2017";"2310";"1,7";"1378";"2,84";"9";"78";"72";"421";"352";"-";3500808
"Altair";"2013";"1229";"3,16";"823";"4,72";"35";"70";"58";"117";"126";"-";3500907
"Altair";"2014";"1339";"2,92";"890";"4,39";"34";"76";"65";"130";"143";"1";3500907
"Altair";"2015";"1393";"2,82";"925";"4,25";"38";"75";"69";"134";"151";"1";3500907
"Altair";"2016";"1506";"2,62";"995";"3,97";"37";"81";"70";"154";"168";"1";3500907
"Altair";"2017";"1563";"2,54";"1013";"3,92";"38";"82";"73";"174";"182";"1";3500907
"Altinópolis";"2013";"7991";"1,95";"5128";"3,04";"111";"499";"290";"728";"1231";"4";3501004
"Altinópolis";"2014";"8391";"1,86";"5371";"2,9";"116";"507";"309";"751";"1333";"4";3501004
"Altinópolis";"2015";"8673";"1,79";"5560";"2,8";"125";"516";"323";"781";"1364";"4";3501004
"Altinópolis";"2016";"9008";"1,73";"5758";"2,7";"128";"524";"352";"805";"1437";"4";3501004
"Altinópolis";"2017";"9390";"1,66";"5999";"2,59";"131";"538";"362";"850";"1506";"4";3501004
"Alto Alegre";"2013";"2087";"1,96";"1125";"3,63";"47";"118";"132";"382";"283";"-";3501103
"Alto Alegre";"2014";"2228";"1,83";"1191";"3,42";"48";"125";"155";"400";"309";"-";3501103
"Alto Alegre";"2015";"2312";"1,76";"1222";"3,33";"48";"132";"167";"427";"316";"-";3501103
"Alto Alegre";"2016";"2400";"1,69";"1266";"3,2";"46";"140";"180";"433";"335";"-";3501103
"Alto Alegre";"2017";"2464";"1,64";"1285";"3,15";"47";"144";"185";"448";"355";"-";3501103
"Alumínio";"2013";"6307";"2,72";"4481";"3,83";"27";"273";"71";"872";"575";"8";3501152
"Alumínio";"2014";"6814";"2,54";"4838";"3,58";"43";"293";"80";"926";"624";"10";3501152
"Alumínio";"2015";"7238";"2,41";"5119";"3,4";"42";"306";"82";"994";"684";"11";3501152
"Alumínio";"2016";"7612";"2,3";"5374";"3,26";"41";"306";"91";"1058";"731";"11";3501152
"Alumínio";"2017";"7979";"2,21";"5637";"3,13";"43";"305";"93";"1106";"785";"10";3501152
"Álvares Florence";"2013";"1659";"2,3";"974";"3,91";"15";"75";"76";"323";"196";"-";3501202
"Álvares Florence";"2014";"1757";"2,15";"1009";"3,75";"16";"85";"79";"333";"235";"-";3501202
"Álvares Florence";"2015";"1804";"2,08";"1036";"3,62";"17";"86";"82";"337";"246";"-";3501202
"Álvares Florence";"2016";"1840";"2,03";"1071";"3,48";"17";"87";"82";"338";"245";"-";3501202
"Álvares Florence";"2017";"1889";"1,96";"1087";"3,4";"17";"86";"87";"351";"261";"-";3501202
"Álvares Machado";"2013";"11669";"2,02";"6368";"3,7";"34";"485";"238";"3262";"1279";"3";3501301
"Álvares Machado";"2014";"12505";"1,89";"6837";"3,45";"33";"511";"260";"3471";"1390";"3";3501301
"Álvares Machado";"2015";"13209";"1,79";"7219";"3,27";"33";"519";"286";"3654";"1496";"2";3501301
"Álvares Machado";"2016";"13814";"1,71";"7545";"3,13";"33";"525";"303";"3825";"1581";"2";3501301
"Álvares Machado";"2017";"14458";"1,64";"7811";"3,03";"36";"559";"338";"3986";"1726";"2";3501301
"Álvaro de Carvalho";"2013";"1041";"4,58";"700";"6,8";"25";"20";"10";"177";"109";"-";3501400
"Álvaro de Carvalho";"2014";"1109";"4,33";"748";"6,42";"26";"26";"13";"177";"119";"-";3501400
"Álvaro de Carvalho";"2015";"1195";"4,05";"798";"6,07";"28";"31";"13";"190";"135";"-";3501400
"Álvaro de Carvalho";"2016";"1259";"3,88";"843";"5,79";"28";"33";"17";"195";"143";"-";3501400
"Álvaro de Carvalho";"2017";"1313";"3,75";"881";"5,59";"30";"38";"19";"201";"144";"-";3501400
"Alvinlândia";"2013";"1107";"2,76";"689";"4,43";"20";"50";"24";"165";"159";"-";3501509
"Alvinlândia";"2014";"1169";"2,63";"726";"4,23";"21";"56";"24";"172";"170";"-";3501509
"Alvinlândia";"2015";"1226";"2,52";"756";"4,09";"20";"63";"28";"186";"173";"-";3501509
"Alvinlândia";"2016";"1285";"2,42";"781";"3,98";"18";"69";"35";"201";"181";"-";3501509
"Alvinlândia";"2017";"1332";"2,35";"820";"3,81";"15";"65";"35";"202";"195";"-";3501509
"Americana";"2013";"155491";"1,4";"97598";"2,23";"711";"4324";"2799";"30764";"19238";"57";3501608
"Americana";"2014";"162408";"1,36";"101897";"2,16";"665";"4418";"2954";"31727";"20688";"59";3501608
"Americana";"2015";"166462";"1,34";"104544";"2,13";"625";"4315";"3080";"32300";"21536";"62";3501608
"Americana";"2016";"170201";"1,32";"106901";"2,11";"580";"4341";"3230";"32683";"22405";"61";3501608
"Americana";"2017";"174369";"1,3";"109740";"2,07";"570";"4279";"3371";"32973";"23375";"61";3501608
"Américo Brasiliense";"2013";"19969";"1,81";"11341";"3,2";"221";"1044";"961";"4662";"1659";"81";3501707
"Américo Brasiliense";"2014";"21426";"1,72";"12063";"3,06";"227";"1125";"1092";"4988";"1843";"88";3501707
"Américo Brasiliense";"2015";"22455";"1,67";"12662";"2,96";"230";"1132";"1169";"5198";"1976";"88";3501707
"Américo Brasiliense";"2016";"23194";"1,64";"13084";"2,91";"221";"1152";"1243";"5363";"2044";"87";3501707
"Américo Brasiliense";"2017";"23806";"1,62";"13410";"2,88";"219";"1161";"1280";"5537";"2112";"87";3501707
"Américo de Campos";"2013";"3020";"1,89";"1878";"3,05";"28";"139";"67";"577";"330";"1";3501806
"Américo de Campos";"2014";"3205";"1,79";"1968";"2,91";"30";"146";"87";"606";"367";"1";3501806
"Américo de Campos";"2015";"3319";"1,73";"2030";"2,82";"30";"140";"101";"618";"400";"-";3501806
"Américo de Campos";"2016";"3387";"1,69";"2051";"2,79";"30";"143";"111";"632";"420";"-";3501806
"Américo de Campos";"2017";"3539";"1,62";"2129";"2,69";"32";"144";"124";"654";"456";"-";3501806
"Amparo";"2013";"45468";"1,47";"25275";"2,65";"129";"1501";"447";"13164";"4940";"12";3501905
"Amparo";"2014";"47463";"1,42";"26295";"2,57";"138";"1589";"503";"13612";"5314";"12";3501905
"Amparo";"2015";"49252";"1,38";"27243";"2,49";"146";"1598";"530";"14127";"5596";"12";3501905
"Amparo";"2016";"50595";"1,35";"27893";"2,45";"142";"1611";"559";"14473";"5905";"12";3501905
"Amparo";"2017";"52215";"1,31";"28698";"2,39";"148";"1641";"605";"14851";"6260";"12";3501905
"Analândia";"2013";"1909";"2,34";"1252";"3,57";"12";"107";"44";"265";"228";"1";3502002
"Analândia";"2014";"2054";"2,21";"1313";"3,45";"13";"127";"58";"273";"269";"1";3502002
"Analândia";"2015";"2176";"2,11";"1381";"3,33";"16";"142";"73";"289";"274";"1";3502002
"Analândia";"2016";"2246";"2,07";"1418";"3,27";"17";"142";"77";"308";"283";"1";3502002
"Analândia";"2017";"2336";"2,01";"1457";"3,22";"17";"148";"89";"319";"305";"1";3502002
"Andradina";"2013";"36493";"1,52";"18495";"3,01";"129";"1556";"1489";"11452";"3359";"13";3502101
"Andradina";"2014";"38340";"1,45";"19224";"2,9";"137";"1643";"1585";"12179";"3559";"13";3502101
"Andradina";"2015";"40370";"1,38";"19929";"2,8";"140";"1791";"1682";"13068";"3747";"13";3502101
"Andradina";"2016";"41890";"1,33";"20600";"2,71";"149";"1823";"1758";"13555";"3992";"13";3502101
"Andradina";"2017";"43384";"1,29";"21412";"2,61";"159";"1796";"1827";"13879";"4298";"13";3502101
"Angatuba";"2013";"10232";"2,24";"5594";"4,09";"103";"517";"280";"2525";"1211";"2";3502200
"Angatuba";"2014";"10856";"2,13";"5968";"3,87";"109";"526";"306";"2632";"1313";"2";3502200
"Angatuba";"2015";"11379";"2,05";"6301";"3,71";"99";"533";"325";"2736";"1383";"2";3502200
"Angatuba";"2016";"11920";"1,98";"6601";"3,57";"119";"552";"333";"2834";"1479";"2";3502200
"Angatuba";"2017";"12500";"1,9";"6917";"3,44";"120";"563";"384";"2929";"1584";"3";3502200
"Anhembi";"2013";"1820";"3,27";"1193";"4,99";"18";"89";"34";"211";"275";"-";3502309
"Anhembi";"2014";"1946";"3,12";"1264";"4,8";"20";"103";"44";"214";"301";"-";3502309
"Anhembi";"2015";"1994";"3,1";"1306";"4,73";"22";"106";"46";"204";"309";"1";3502309
"Anhembi";"2016";"2080";"3,01";"1358";"4,62";"25";"111";"53";"209";"323";"1";3502309
"Anhembi";"2017";"2180";"2,92";"1417";"4,49";"23";"114";"71";"209";"345";"1";3502309
"Anhumas";"2013";"1510";"2,52";"877";"4,34";"7";"78";"29";"287";"232";"-";3502408
"Anhumas";"2014";"1663";"2,3";"974";"3,93";"8";"86";"39";"304";"252";"-";3502408
"Anhumas";"2015";"1768";"2,18";"1037";"3,72";"8";"88";"43";"323";"269";"-";3502408
"Anhumas";"2016";"1808";"2,14";"1055";"3,67";"9";"93";"48";"322";"281";"-";3502408
"Anhumas";"2017";"1907";"2,04";"1106";"3,52";"10";"89";"53";"345";"304";"-";3502408
"Aparecida";"2013";"19048";"1,85";"10823";"3,25";"543";"902";"280";"4008";"2486";"6";3502507
"Aparecida";"2014";"19949";"1,77";"11297";"3,12";"582";"925";"278";"4186";"2674";"7";3502507
"Aparecida";"2015";"20551";"1,72";"11686";"3,03";"518";"914";"294";"4288";"2843";"8";3502507
"Aparecida";"2016";"21004";"1,69";"11951";"2,96";"522";"961";"305";"4329";"2926";"10";3502507
"Aparecida";"2017";"21587";"1,64";"12287";"2,89";"529";"923";"318";"4469";"3050";"11";3502507
"Aparecida d'Oeste";"2013";"2587";"1,68";"1551";"2,8";"26";"110";"87";"495";"318";"-";3502606
"Aparecida d'Oeste";"2014";"2738";"1,58";"1636";"2,64";"28";"115";"103";"528";"328";"-";3502606
"Aparecida d'Oeste";"2015";"2866";"1,49";"1693";"2,53";"26";"106";"114";"565";"362";"-";3502606
"Aparecida d'Oeste";"2016";"2952";"1,44";"1737";"2,45";"26";"109";"125";"567";"388";"-";3502606
"Aparecida d'Oeste";"2017";"3036";"1,39";"1802";"2,34";"26";"107";"140";"579";"382";"-";3502606
"Apiaí";"2013";"8292";"3";"4203";"5,93";"67";"429";"137";"2512";"937";"7";3502705
"Apiaí";"2014";"8829";"2,81";"4466";"5,55";"77";"447";"159";"2685";"988";"7";3502705
"Apiaí";"2015";"9405";"2,63";"4802";"5,14";"85";"453";"163";"2830";"1065";"7";3502705
"Apiaí";"2016";"10005";"2,47";"5122";"4,82";"90";"478";"191";"2971";"1146";"7";3502705
"Apiaí";"2017";"10542";"2,34";"5418";"4,56";"97";"493";"207";"3095";"1225";"7";3502705
"Aramina";"2013";"2200";"2,39";"1516";"3,47";"24";"85";"80";"206";"289";"-";3503000
"Aramina";"2014";"2342";"2,26";"1615";"3,28";"25";"89";"99";"205";"308";"1";3503000
"Aramina";"2015";"2477";"2,16";"1697";"3,15";"26";"92";"112";"217";"332";"1";3503000
"Aramina";"2016";"2693";"1,99";"1858";"2,89";"25";"96";"125";"230";"358";"1";3503000
"Aramina";"2017";"2818";"1,92";"1947";"2,77";"28";"98";"118";"232";"394";"1";3503000
"Arandu";"2013";"1945";"3,15";"1176";"5,21";"24";"57";"30";"411";"247";"-";3503109
"Arandu";"2014";"2091";"2,93";"1308";"4,69";"24";"60";"31";"423";"245";"-";3503109
"Arandu";"2015";"2244";"2,74";"1383";"4,44";"23";"64";"39";"464";"271";"-";3503109
"Arandu";"2016";"2362";"2,6";"1446";"4,25";"23";"69";"41";"484";"299";"-";3503109
"Arandu";"2017";"2498";"2,46";"1526";"4,03";"25";"73";"52";"497";"325";"-";3503109
"Arapeí";"2013";"810";"3,06";"502";"4,94";"13";"33";"7";"147";"108";"-";3503158
"Arapeí";"2014";"887";"2,79";"546";"4,54";"13";"38";"9";"167";"114";"-";3503158
"Arapeí";"2015";"946";"2,61";"590";"4,19";"12";"38";"11";"181";"114";"-";3503158
"Arapeí";"2016";"1017";"2,43";"627";"3,94";"12";"40";"13";"194";"131";"-";3503158
"Arapeí";"2017";"1058";"2,34";"656";"3,77";"11";"41";"15";"200";"135";"-";3503158
"Araraquara";"2013";"155861";"1,38";"92874";"2,32";"1072";"4858";"4320";"37355";"15285";"97";3503208
"Araraquara";"2014";"162981";"1,33";"96804";"2,25";"1114";"5067";"4587";"38659";"16685";"65";3503208
"Araraquara";"2015";"167855";"1,31";"99384";"2,21";"1156";"5122";"4757";"39729";"17642";"65";3503208
"Araraquara";"2016";"171139";"1,29";"100778";"2,19";"1213";"5173";"4920";"40664";"18331";"60";3503208
"Araraquara";"2017";"174845";"1,27";"102581";"2,17";"1194";"5201";"5127";"41833";"18847";"62";3503208
"Araras";"2013";"85293";"1,44";"47191";"2,6";"327";"2949";"1560";"25044";"8159";"63";3503307
"Araras";"2014";"89207";"1,39";"49272";"2,51";"341";"2958";"1631";"26248";"8693";"64";3503307
"Araras";"2015";"92277";"1,36";"50821";"2,46";"350";"2998";"1690";"27233";"9121";"64";3503307
"Araras";"2016";"94485";"1,34";"52015";"2,43";"367";"2987";"1735";"27810";"9507";"64";3503307
"Araras";"2017";"97024";"1,31";"53329";"2,39";"372";"2976";"1819";"28453";"10016";"59";3503307
"Araçariguama";"2013";"8039";"2,27";"4508";"4,05";"49";"734";"217";"1418";"1096";"17";3502754
"Araçariguama";"2014";"8724";"2,14";"4866";"3,84";"51";"754";"232";"1564";"1238";"19";3502754
"Araçariguama";"2015";"9136";"2,09";"5104";"3,75";"53";"778";"242";"1656";"1284";"19";3502754
"Araçariguama";"2016";"9371";"2,08";"5346";"3,65";"53";"746";"245";"1682";"1271";"28";3502754
"Araçariguama";"2017";"9715";"2,04";"5626";"3,53";"57";"707";"255";"1761";"1282";"27";3502754
"Araçatuba";"2013";"147873";"1,25";"70110";"2,63";"747";"4570";"4441";"54363";"13596";"46";3502804
"Araçatuba";"2014";"154121";"1,2";"73231";"2,53";"776";"4717";"4804";"55992";"14551";"50";3502804
"Araçatuba";"2015";"159204";"1,17";"75506";"2,47";"815";"4850";"5187";"57507";"15286";"53";3502804
"Araçatuba";"2016";"163705";"1,14";"77610";"2,41";"788";"4872";"5500";"58847";"16034";"54";3502804
"Araçatuba";"2017";"167421";"1,12";"79343";"2,37";"697";"4839";"5720";"59947";"16820";"55";3502804
"Araçoiaba da Serra";"2013";"16375";"1,76";"9369";"3,07";"24";"597";"282";"4133";"1951";"19";3502903
"Araçoiaba da Serra";"2014";"17411";"1,69";"10037";"2,92";"26";"628";"315";"4266";"2119";"20";3502903
"Araçoiaba da Serra";"2015";"18236";"1,64";"10553";"2,83";"28";"652";"344";"4336";"2303";"20";3502903
"Araçoiaba da Serra";"2016";"18949";"1,6";"11030";"2,76";"29";"665";"374";"4403";"2421";"27";3502903
"Araçoiaba da Serra";"2017";"19803";"1,56";"11521";"2,68";"34";"659";"416";"4590";"2554";"29";3502903
"Arco-Íris";"2013";"730";"2,58";"379";"4,97";"8";"70";"18";"169";"86";"-";3503356
"Arco-Íris";"2014";"783";"2,39";"411";"4,55";"7";"76";"22";"177";"90";"-";3503356
"Arco-Íris";"2015";"824";"2,25";"429";"4,33";"7";"78";"24";"192";"94";"-";3503356
"Arco-Íris";"2016";"855";"2,16";"446";"4,15";"7";"79";"31";"191";"101";"-";3503356
"Arco-Íris";"2017";"887";"2,08";"458";"4,02";"7";"79";"33";"201";"109";"-";3503356
"Arealva";"2013";"3349";"2,37";"1805";"4,4";"30";"180";"84";"741";"508";"1";3503406
"Arealva";"2014";"3642";"2,19";"1931";"4,14";"29";"190";"97";"808";"586";"1";3503406
"Arealva";"2015";"3813";"2,11";"2025";"3,96";"28";"199";"115";"819";"626";"1";3503406
"Arealva";"2016";"3935";"2,05";"2107";"3,83";"28";"213";"118";"815";"653";"1";3503406
"Arealva";"2017";"4120";"1,96";"2209";"3,66";"29";"216";"132";"841";"692";"1";3503406
"Areias";"2013";"1109";"3,36";"715";"5,22";"5";"44";"5";"208";"132";"-";3503505
"Areias";"2014";"1220";"3,07";"780";"4,8";"6";"53";"7";"231";"143";"-";3503505
"Areias";"2015";"1310";"2,87";"833";"4,51";"7";"57";"9";"252";"152";"-";3503505
"Areias";"2016";"1396";"2,7";"888";"4,25";"8";"61";"11";"272";"156";"-";3503505
"Areias";"2017";"1487";"2,55";"939";"4,04";"8";"60";"15";"292";"173";"-";3503505
"Areiópolis";"2013";"4038";"2,64";"2685";"3,96";"103";"169";"169";"502";"409";"1";3503604
"Areiópolis";"2014";"4231";"2,52";"2840";"3,75";"98";"182";"178";"513";"419";"1";3503604
"Areiópolis";"2015";"4401";"2,43";"2928";"3,65";"114";"183";"190";"540";"445";"1";3503604
"Areiópolis";"2016";"4579";"2,34";"3061";"3,5";"120";"187";"193";"563";"454";"1";3503604
"Areiópolis";"2017";"4802";"2,24";"3168";"3,39";"137";"196";"206";"612";"482";"1";3503604
"Ariranha";"2013";"4981";"1,76";"2722";"3,23";"156";"402";"497";"630";"571";"3";3503703
"Ariranha";"2014";"5232";"1,69";"2871";"3,09";"174";"406";"510";"671";"597";"3";3503703
"Ariranha";"2015";"5391";"1,66";"2959";"3,03";"184";"396";"521";"719";"609";"3";3503703
"Ariranha";"2016";"5569";"1,62";"3081";"2,93";"190";"391";"523";"728";"653";"3";3503703
"Ariranha";"2017";"5708";"1,59";"3143";"2,89";"190";"380";"540";"752";"700";"3";3503703
"Artur Nogueira";"2013";"29244";"1,6";"16657";"2,82";"143";"1177";"464";"7486";"3313";"4";3503802
"Artur Nogueira";"2014";"31135";"1,54";"17719";"2,7";"151";"1233";"515";"7950";"3564";"3";3503802
"Artur Nogueira";"2015";"32635";"1,5";"18649";"2,62";"163";"1278";"579";"8189";"3773";"4";3503802
"Artur Nogueira";"2016";"33841";"1,47";"19420";"2,56";"166";"1294";"645";"8327";"3984";"5";3503802
"Artur Nogueira";"2017";"35145";"1,43";"20226";"2,49";"172";"1308";"694";"8497";"4243";"5";3503802
"Arujá";"2013";"47100";"1,68";"28968";"2,74";"358";"3531";"899";"6203";"7036";"105";3503901
"Arujá";"2014";"49957";"1,62";"30473";"2,65";"412";"3830";"1075";"6366";"7683";"118";3503901
"Arujá";"2015";"51549";"1,6";"31464";"2,62";"474";"3880";"1095";"6582";"7939";"115";3503901
"Arujá";"2016";"52610";"1,59";"32298";"2,6";"474";"3852";"1144";"6681";"8042";"119";3503901
"Arujá";"2017";"54324";"1,57";"33415";"2,55";"465";"3922";"1250";"6869";"8268";"135";3503901
"Aspásia";"2013";"908";"1,98";"539";"3,33";"4";"33";"48";"189";"95";"-";3503950
"Aspásia";"2014";"951";"1,88";"561";"3,19";"5";"37";"54";"191";"103";"-";3503950
"Aspásia";"2015";"981";"1,82";"580";"3,08";"5";"35";"58";"196";"107";"-";3503950
"Aspásia";"2016";"1009";"1,77";"597";"2,98";"5";"34";"57";"204";"112";"-";3503950
"Aspásia";"2017";"1030";"1,73";"602";"2,95";"5";"29";"58";"216";"120";"-";3503950
"Assis";"2013";"65803";"1,48";"34064";"2,85";"354";"2393";"1984";"20448";"6528";"32";3504008
"Assis";"2014";"69019";"1,42";"35699";"2,74";"379";"2498";"2107";"21187";"7117";"32";3504008
"Assis";"2015";"71832";"1,37";"37050";"2,66";"379";"2547";"2217";"22091";"7517";"31";3504008
"Assis";"2016";"73938";"1,34";"38170";"2,59";"382";"2545";"2302";"22598";"7909";"32";3504008
"Assis";"2017";"76174";"1,31";"39396";"2,53";"384";"2569";"2508";"23004";"8279";"34";3504008
"Atibaia";"2013";"94556";"1,38";"55715";"2,34";"359";"3193";"1582";"21426";"12242";"39";3504107
"Atibaia";"2014";"98813";"1,34";"57938";"2,28";"363";"3338";"1801";"22341";"12987";"45";3504107
"Atibaia";"2015";"101801";"1,31";"59575";"2,24";"350";"3339";"1910";"23158";"13422";"47";3504107
"Atibaia";"2016";"104605";"1,29";"61289";"2,2";"347";"3271";"1925";"23811";"13915";"47";3504107
"Atibaia";"2017";"107495";"1,26";"63405";"2,14";"397";"3112";"1630";"24424";"14478";"49";3504107
"Auriflama";"2013";"8803";"1,62";"4860";"2,94";"45";"391";"314";"2151";"1039";"3";3504206
"Auriflama";"2014";"9322";"1,54";"5109";"2,81";"47";"398";"341";"2309";"1115";"3";3504206
"Auriflama";"2015";"9626";"1,49";"5226";"2,75";"52";"400";"368";"2414";"1163";"3";3504206
"Auriflama";"2016";"9940";"1,45";"5356";"2,69";"51";"412";"404";"2488";"1226";"3";3504206
"Auriflama";"2017";"10334";"1,39";"5525";"2,61";"54";"414";"443";"2580";"1315";"3";3504206
"Avaí";"2013";"1482";"3,41";"895";"5,65";"18";"78";"61";"232";"198";"-";3504305
"Avaí";"2014";"1609";"3,16";"965";"5,28";"19";"90";"74";"239";"222";"-";3504305
"Avaí";"2015";"1702";"3,01";"1011";"5,07";"21";"98";"85";"243";"244";"-";3504305
"Avaí";"2016";"1754";"2,94";"1036";"4,98";"22";"97";"94";"245";"260";"-";3504305
"Avaí";"2017";"1826";"2,84";"1084";"4,79";"23";"105";"102";"247";"264";"1";3504305
"Avanhandava";"2013";"4604";"2,51";"2474";"4,66";"47";"210";"304";"1188";"378";"3";3504404
"Avanhandava";"2014";"4925";"2,36";"2630";"4,42";"55";"226";"326";"1260";"425";"3";3504404
"Avanhandava";"2015";"5208";"2,25";"2755";"4,25";"58";"239";"347";"1339";"467";"3";3504404
"Avanhandava";"2016";"5466";"2,16";"2901";"4,06";"59";"260";"365";"1390";"488";"3";3504404
"Avanhandava";"2017";"5672";"2,09";"3029";"3,92";"70";"256";"377";"1411";"527";"2";3504404
"Avaré";"2013";"52937";"1,59";"30782";"2,74";"270";"1481";"1364";"13120";"5912";"8";3504503
"Avaré";"2014";"55264";"1,54";"32118";"2,64";"290";"1542";"1479";"13573";"6256";"6";3504503
"Avaré";"2015";"57248";"1,49";"33244";"2,57";"295";"1583";"1625";"13946";"6547";"8";3504503
"Avaré";"2016";"59222";"1,45";"34277";"2,5";"307";"1621";"1756";"14319";"6933";"9";3504503
"Avaré";"2017";"61324";"1,41";"35303";"2,44";"304";"1635";"1855";"14860";"7358";"9";3504503
