"Localidades";"Períodos";"PIB (Em mil reais correntes)";"PIB per Capita (Em reais correntes)";"Participação no PIB do Estado (Em %)";"Cód. IBGE"
"Álvares Machado";"2014";"389859,19";"16531,37";"0,020981";3501301
"Álvares Machado";"2015";"419983,76";"17794,41";"0,02165";3501301
"Álvaro de Carvalho";"2011";"40785,79";"8707,47";"0,002839";3501400
"Álvaro de Carvalho";"2012";"37634,49";"7968,34";"0,002414";3501400
"Álvaro de Carvalho";"2013";"36455,86";"7653,97";"0,002125";3501400
"Álvaro de Carvalho";"2014";"39737,86";"8273,55";"0,002139";3501400
"Álvaro de Carvalho";"2015";"47147,56";"9735,2";"0,00243";3501400
"Alvinlândia";"2011";"29647,84";"9823,67";"0,002064";3501509
"Alvinlândia";"2012";"34570,75";"11386,94";"0,002217";3501509
"Alvinlândia";"2013";"39181,5";"12825,37";"0,002284";3501509
"Alvinlândia";"2014";"40489,35";"13171,55";"0,002179";3501509
"Alvinlândia";"2015";"42335,4";"13687,49";"0,002182";3501509
"Americana";"2011";"8616510,41";"40475,52";"0,599755";3501608
"Americana";"2012";"8758084,1";"40658,5";"0,561764";3501608
"Americana";"2013";"10085142,42";"46270,61";"0,587973";3501608
"Americana";"2014";"10727868,54";"48642,54";"0,577327";3501608
"Americana";"2015";"10101729,32";"45266,76";"0,520737";3501608
"Américo Brasiliense";"2011";"502124,17";"14340,26";"0,03495";3501707
"Américo Brasiliense";"2012";"538860,62";"15128,04";"0,034564";3501707
"Américo Brasiliense";"2013";"651114,69";"17969,22";"0,037961";3501707
"Américo Brasiliense";"2014";"701489,63";"19030,67";"0,037751";3501707
"Américo Brasiliense";"2015";"743189,12";"19819,96";"0,038311";3501707
"Américo de Campos";"2011";"62468,9";"10940,26";"0,004348";3501806
"Américo de Campos";"2012";"63071,86";"11034,26";"0,004046";3501806
"Américo de Campos";"2013";"69638,4";"12174,55";"0,00406";3501806
"Américo de Campos";"2014";"86075,1";"15032,33";"0,004632";3501806
"Américo de Campos";"2015";"84601,04";"14762";"0,004361";3501806
"Amparo";"2011";"2860090,61";"43201,18";"0,199077";3501905
"Amparo";"2012";"3014108,84";"45237,19";"0,193332";3501905
"Amparo";"2013";"3269150,82";"48752,55";"0,190595";3501905
"Amparo";"2014";"3516614,3";"52108,8";"0,189249";3501905
"Amparo";"2015";"3608997,05";"53136,78";"0,186041";3501905
"Analândia";"2011";"108598,11";"24988,06";"0,007559";3502002
"Analândia";"2012";"110803,12";"25142,53";"0,007107";3502002
"Analândia";"2013";"124137,27";"27783,63";"0,007237";3502002
"Analândia";"2014";"135410,95";"29892,04";"0,007287";3502002
"Analândia";"2015";"128671,91";"28014,78";"0,006633";3502002
"Andradina";"2011";"1731488,4";"31242,46";"0,120521";3502101
"Andradina";"2012";"1861978,5";"33543,12";"0,119432";3502101
"Andradina";"2013";"2032917,28";"36564,58";"0,118521";3502101
"Andradina";"2014";"2131965,26";"38284,79";"0,114733";3502101
"Andradina";"2015";"2057926,58";"36896,94";"0,106085";3502101
"Angatuba";"2011";"684045,49";"30518,67";"0,047613";3502200
"Angatuba";"2012";"624706,51";"27583,3";"0,04007";3502200
"Angatuba";"2013";"669149,27";"29242,2";"0,039012";3502200
"Angatuba";"2014";"765382,46";"33101,91";"0,04119";3502200
"Angatuba";"2015";"871229,37";"37292,59";"0,044911";3502200
"Anhembi";"2011";"89129,77";"15514,32";"0,006204";3502309
"Anhembi";"2012";"102812,59";"17577,81";"0,006595";3502309
"Anhembi";"2013";"106485,67";"17884,73";"0,006208";3502309
"Anhembi";"2014";"109854,97";"18118,91";"0,005912";3502309
"Anhembi";"2015";"99084,06";"16053,8";"0,005108";3502309
"Anhumas";"2011";"36844,67";"9804,33";"0,002565";3502408
"Anhumas";"2012";"53032,59";"14018,66";"0,003402";3502408
"Anhumas";"2013";"70036,31";"18391,89";"0,004083";3502408
"Anhumas";"2014";"62893,99";"16417,12";"0,003385";3502408
"Anhumas";"2015";"58874,29";"15268,23";"0,003035";3502408
"Aparecida";"2011";"591020,98";"16849,25";"0,041138";3502507
"Aparecida";"2012";"667000,69";"18976,92";"0,042783";3502507
"Aparecida";"2013";"760688,65";"21598,81";"0,044349";3502507
"Aparecida";"2014";"875331,68";"24802,55";"0,047107";3502507
"Aparecida";"2015";"929139,06";"26274,33";"0,047896";3502507
"Aparecida d'Oeste";"2011";"60221,17";"13627,78";"0,004192";3502606
"Aparecida d'Oeste";"2012";"60869,28";"13881,25";"0,003904";3502606
"Aparecida d'Oeste";"2013";"64319,72";"14786,14";"0,00375";3502606
"Aparecida d'Oeste";"2014";"80375,19";"18618,3";"0,004325";3502606
"Aparecida d'Oeste";"2015";"87304,61";"20383,99";"0,0045";3502606
"Apiaí";"2011";"462392,95";"18417,63";"0,032185";3502705
"Apiaí";"2012";"489004,35";"19557,04";"0,031366";3502705
"Apiaí";"2013";"654322,66";"26274,85";"0,038148";3502705
"Apiaí";"2014";"767823,31";"30956,87";"0,041321";3502705
"Apiaí";"2015";"760318,18";"30778,37";"0,039194";3502705
"Aramina";"2011";"82832,76";"15972,38";"0,005766";3503000
"Aramina";"2012";"94376,65";"18062,52";"0,006054";3503000
"Aramina";"2013";"115468,32";"21943,81";"0,006732";3503000
"Aramina";"2014";"104852,68";"19779,79";"0,005643";3503000
"Aramina";"2015";"112473,17";"21062,39";"0,005798";3503000
"Arandu";"2011";"71285,53";"11636,55";"0,004962";3503109
"Arandu";"2012";"66454";"10842,55";"0,004263";3503109
"Arandu";"2013";"71378,05";"11640,26";"0,004161";3503109
"Arandu";"2014";"81609,47";"13302,28";"0,004392";3503109
"Arandu";"2015";"81479,37";"13274,58";"0,0042";3503109
"Arapeí";"2011";"20751,85";"8337,42";"0,001444";3503158
"Arapeí";"2012";"23909,53";"9621,54";"0,001534";3503158
"Arapeí";"2013";"22581,13";"9101,63";"0,001317";3503158
"Arapeí";"2014";"23587,87";"9522,76";"0,001269";3503158
"Arapeí";"2015";"24213,78";"9795,22";"0,001248";3503158
"Araraquara";"2011";"6116560,09";"29040,46";"0,425745";3503208
"Araraquara";"2012";"6928528,34";"32552,91";"0,444412";3503208
"Araraquara";"2013";"7531613,78";"35017,73";"0,4391";3503208
"Araraquara";"2014";"7975226,52";"36694,2";"0,429192";3503208
"Araraquara";"2015";"8405365,54";"38270,4";"0,433291";3503208
"Araras";"2011";"3671007,9";"30596,83";"0,255522";3503307
"Araras";"2012";"4037143,49";"33293,28";"0,258952";3503307
"Araras";"2013";"4211377,37";"34363,44";"0,245527";3503307
"Araras";"2014";"4431291,08";"35775,74";"0,238473";3503307
"Araras";"2015";"4640378,83";"37068,17";"0,239208";3503307
