"Localidades";"Períodos";"PIB (Em mil reais correntes)";"PIB per Capita (Em reais correntes)";"Participação no PIB do Estado (Em %)";"Cód. IBGE"
"Duartina";"2014";"199258,7";"16409,35";"0,010723";3514502
"Duartina";"2015";"202466,87";"16710,7";"0,010437";3514502
"Dumont";"2011";"119631,24";"14436,01";"0,008327";3514601
"Dumont";"2012";"145049,17";"17165,58";"0,009304";3514601
"Dumont";"2013";"158276,3";"18367,91";"0,009228";3514601
"Dumont";"2014";"166674,41";"18970,45";"0,00897";3514601
"Dumont";"2015";"185416,49";"20693,8";"0,009558";3514601
"Echaporã";"2011";"92390,2";"14641,87";"0,006431";3514700
"Echaporã";"2012";"94301,99";"14973,32";"0,006049";3514700
"Echaporã";"2013";"113202,74";"18008,71";"0,0066";3514700
"Echaporã";"2014";"106457,54";"16968,05";"0,005729";3514700
"Echaporã";"2015";"113723,63";"18160,91";"0,005862";3514700
"Eldorado";"2011";"175215,88";"11939,75";"0,012196";3514809
"Eldorado";"2012";"213927,8";"14540,05";"0,013722";3514809
"Eldorado";"2013";"173509,42";"11761,76";"0,010116";3514809
"Eldorado";"2014";"189396,96";"12805,74";"0,010193";3514809
"Eldorado";"2015";"186415,45";"12571,85";"0,00961";3514809
"Elias Fausto";"2011";"429930,51";"26997,21";"0,029925";3514908
"Elias Fausto";"2012";"426684,38";"26512,02";"0,027369";3514908
"Elias Fausto";"2013";"474895,63";"29197,4";"0,027687";3514908
"Elias Fausto";"2014";"510320,1";"31045,15";"0,027463";3514908
"Elias Fausto";"2015";"556016,49";"33470,77";"0,028662";3514908
"Elisiário";"2011";"42685,29";"13525,12";"0,002971";3514924
"Elisiário";"2012";"50655,66";"15844,75";"0,003249";3514924
"Elisiário";"2013";"55208,65";"17050,23";"0,003219";3514924
"Elisiário";"2014";"54409,82";"16578,25";"0,002928";3514924
"Elisiário";"2015";"56054,68";"16863,62";"0,00289";3514924
"Embaúba";"2011";"36101,33";"14917,91";"0,002513";3514957
"Embaúba";"2012";"33465,3";"13845,8";"0,002147";3514957
"Embaúba";"2013";"42052,92";"17420,43";"0,002452";3514957
"Embaúba";"2014";"46842,66";"19428,73";"0,002521";3514957
"Embaúba";"2015";"44385,89";"18432,68";"0,002288";3514957
"Embu das Artes";"2011";"5177290,23";"21299,23";"0,360367";3515004
"Embu das Artes";"2012";"5940470,24";"24123,64";"0,381035";3515004
"Embu das Artes";"2013";"7150070,54";"28661,16";"0,416856";3515004
"Embu das Artes";"2014";"7412776,57";"29330,93";"0,398923";3515004
"Embu das Artes";"2015";"9403920,3";"36729,62";"0,484766";3515004
"Embu-Guaçu";"2011";"708946,84";"11208,29";"0,049346";3515103
"Embu-Guaçu";"2012";"763569,16";"11969,86";"0,048977";3515103
"Embu-Guaçu";"2013";"872787,23";"13566,5";"0,050884";3515103
"Embu-Guaçu";"2014";"948095,37";"14612,61";"0,051022";3515103
"Embu-Guaçu";"2015";"1001843,83";"15310,52";"0,051644";3515103
"Emilianópolis";"2011";"38275,76";"12648,96";"0,002664";3515129
"Emilianópolis";"2012";"41731,74";"13759,23";"0,002677";3515129
"Emilianópolis";"2013";"42610,79";"14016,71";"0,002484";3515129
"Emilianópolis";"2014";"47109,43";"15460,92";"0,002535";3515129
"Emilianópolis";"2015";"49713,06";"16278,02";"0,002563";3515129
"Engenheiro Coelho";"2011";"338914,22";"20965,93";"0,02359";3515152
"Engenheiro Coelho";"2012";"361187,94";"21648,76";"0,023167";3515152
"Engenheiro Coelho";"2013";"349907,01";"20319,8";"0,0204";3515152
"Engenheiro Coelho";"2014";"363248,87";"20439,39";"0,019548";3515152
"Engenheiro Coelho";"2015";"373096,77";"20340,01";"0,019233";3515152
"Espírito Santo do Pinhal";"2011";"927012,43";"22085,4";"0,064525";3515186
"Espírito Santo do Pinhal";"2012";"1099923,32";"26155,02";"0,070552";3515186
"Espírito Santo do Pinhal";"2013";"1148176,53";"27250,59";"0,06694";3515186
"Espírito Santo do Pinhal";"2014";"1179292,1";"27936,04";"0,063464";3515186
"Espírito Santo do Pinhal";"2015";"1274060,34";"30123,9";"0,065677";3515186
"Espírito Santo do Turvo";"2011";"68350,51";"15917,68";"0,004758";3515194
"Espírito Santo do Turvo";"2012";"70698,22";"16256,2";"0,004535";3515194
"Espírito Santo do Turvo";"2013";"83670,72";"18994,49";"0,004878";3515194
"Espírito Santo do Turvo";"2014";"96067,19";"21530,07";"0,00517";3515194
"Espírito Santo do Turvo";"2015";"58355,78";"12913,43";"0,003008";3515194
"Estiva Gerbi";"2011";"206793,76";"20391,85";"0,014394";3557303
"Estiva Gerbi";"2012";"186179,66";"18165,64";"0,011942";3557303
"Estiva Gerbi";"2013";"210613,48";"20333,41";"0,012279";3557303
"Estiva Gerbi";"2014";"249079,98";"23792,15";"0,013404";3557303
"Estiva Gerbi";"2015";"256117,27";"24205,39";"0,013203";3557303
"Estrela d'Oeste";"2011";"262080,84";"31972,78";"0,018242";3515202
"Estrela d'Oeste";"2012";"364296,29";"44491,49";"0,023367";3515202
"Estrela d'Oeste";"2013";"422434,8";"51661,34";"0,024628";3515202
"Estrela d'Oeste";"2014";"454759,53";"55675,75";"0,024473";3515202
"Estrela d'Oeste";"2015";"494484,53";"60620,88";"0,02549";3515202
"Estrela do Norte";"2011";"40777,76";"15347,29";"0,002838";3515301
"Estrela do Norte";"2012";"42301,15";"15926,64";"0,002713";3515301
"Estrela do Norte";"2013";"50542,86";"19029,69";"0,002947";3515301
"Estrela do Norte";"2014";"50342,1";"18961,24";"0,002709";3515301
"Estrela do Norte";"2015";"51027,95";"19226,81";"0,00263";3515301
"Euclides da Cunha Paulista";"2011";"65431,77";"6835,75";"0,004554";3515350
"Euclides da Cunha Paulista";"2012";"76326,24";"7988,93";"0,004896";3515350
"Euclides da Cunha Paulista";"2013";"96663,04";"10136,64";"0,005636";3515350
"Euclides da Cunha Paulista";"2014";"104065,49";"10934,69";"0,0056";3515350
"Euclides da Cunha Paulista";"2015";"110040";"11583,16";"0,005672";3515350
"Fartura";"2011";"186475,93";"12151,44";"0,01298";3515400
"Fartura";"2012";"225347,84";"14657,72";"0,014454";3515400
"Fartura";"2013";"258501,07";"16781,43";"0,015071";3515400
"Fartura";"2014";"311327,02";"20174,12";"0,016754";3515400
"Fartura";"2015";"319235,59";"20647,8";"0,016456";3515400
"Fernando Prestes";"2011";"105062,58";"18971,21";"0,007313";3515608
"Fernando Prestes";"2012";"113329,06";"20441,75";"0,007269";3515608
"Fernando Prestes";"2013";"133167,15";"23994,08";"0,007764";3515608
"Fernando Prestes";"2014";"128278,9";"23088,35";"0,006903";3515608
"Fernando Prestes";"2015";"131926,14";"23723,46";"0,006801";3515608
"Fernandópolis";"2011";"1197921,56";"18473,33";"0,083382";3515509
"Fernandópolis";"2012";"1369314,29";"21059,25";"0,087831";3515509
"Fernandópolis";"2013";"1588190,86";"24359,5";"0,092593";3515509
"Fernandópolis";"2014";"1686206,18";"25792,83";"0,090744";3515509
"Fernandópolis";"2015";"1683013,41";"25674,48";"0,086758";3515509
"Fernão";"2011";"24859,8";"15834,27";"0,00173";3515657
"Fernão";"2012";"26509,95";"16789,08";"0,0017";3515657
"Fernão";"2013";"35229,61";"22198,87";"0,002054";3515657
"Fernão";"2014";"46274,61";"28994,12";"0,00249";3515657
"Fernão";"2015";"47520,05";"29625,97";"0,00245";3515657
"Ferraz de Vasconcelos";"2011";"2353543,37";"13800,62";"0,163819";3515707
"Ferraz de Vasconcelos";"2012";"2474715,01";"14301,16";"0,158734";3515707
"Ferraz de Vasconcelos";"2013";"2572171,66";"14649,32";"0,14996";3515707
"Ferraz de Vasconcelos";"2014";"2747745,99";"15422,91";"0,147872";3515707
"Ferraz de Vasconcelos";"2015";"2736076,29";"15135,26";"0,141043";3515707
"Flora Rica";"2011";"21604";"12459,05";"0,001504";3515806
"Flora Rica";"2012";"28507,45";"16632,12";"0,001829";3515806
"Flora Rica";"2013";"35153,04";"20763,76";"0,002049";3515806
"Flora Rica";"2014";"31430,57";"18775,73";"0,001691";3515806
"Flora Rica";"2015";"32153,21";"19439,66";"0,001657";3515806
"Floreal";"2011";"53162,71";"17786,12";"0,0037";3515905
"Floreal";"2012";"51000,19";"17154,45";"0,003271";3515905
"Floreal";"2013";"55024,85";"18602,04";"0,003208";3515905
"Floreal";"2014";"63698,23";"21651,33";"0,003428";3515905
"Floreal";"2015";"50609,66";"17296,53";"0,002609";3515905
"Flórida Paulista";"2011";"144633,4";"11340,24";"0,010067";3516002
"Flórida Paulista";"2012";"165942,51";"13091,08";"0,010644";3516002
"Flórida Paulista";"2013";"182968,23";"14522,44";"0,010667";3516002
"Flórida Paulista";"2014";"184770,05";"14755,63";"0,009944";3516002
"Flórida Paulista";"2015";"178011,14";"14301,53";"0,009176";3516002
"Florínia";"2011";"76326,52";"27123,85";"0,005313";3516101
"Florínia";"2012";"76388,57";"27291,38";"0,0049";3516101
"Florínia";"2013";"82634,64";"29703,32";"0,004818";3516101
"Florínia";"2014";"78362,36";"28330,57";"0,004217";3516101
"Florínia";"2015";"114398,57";"41599,48";"0,005897";3516101
"Franca";"2011";"5893434,4";"18364,93";"0,410214";3516200
"Franca";"2012";"6650296,99";"20559,62";"0,426565";3516200
"Franca";"2013";"7400740,92";"22698,73";"0,43147";3516200
"Franca";"2014";"8069331,62";"24553,71";"0,434256";3516200
"Franca";"2015";"8443011,62";"25487,64";"0,435231";3516200
"Francisco Morato";"2011";"1009860,98";"6465,43";"0,070292";3516309
"Francisco Morato";"2012";"1081424,69";"6839,14";"0,069365";3516309
"Francisco Morato";"2013";"1239002,35";"7739,99";"0,072235";3516309
"Francisco Morato";"2014";"1268410,28";"7827,04";"0,06826";3516309
"Francisco Morato";"2015";"1337906,38";"8155,08";"0,068968";3516309
"Franco da Rocha";"2011";"1790985,49";"13417,03";"0,124662";3516408
"Franco da Rocha";"2012";"1946857,7";"14355,56";"0,124876";3516408
"Franco da Rocha";"2013";"2325813,27";"16880,39";"0,135597";3516408
"Franco da Rocha";"2014";"2563524,62";"18313,38";"0,137958";3516408
"Franco da Rocha";"2015";"2743594,4";"19292,01";"0,14143";3516408
"Gabriel Monteiro";"2011";"51766,3";"19123,12";"0,003603";3516507
"Gabriel Monteiro";"2012";"42280,61";"15630,54";"0,002712";3516507
"Gabriel Monteiro";"2013";"44562,25";"16474,03";"0,002598";3516507
"Gabriel Monteiro";"2014";"61076,59";"22595,85";"0,003287";3516507
"Gabriel Monteiro";"2015";"64655,58";"23928,78";"0,003333";3516507
"Gália";"2011";"82281,14";"11822";"0,005727";3516606
"Gália";"2012";"96104,63";"13926,19";"0,006164";3516606
"Gália";"2013";"98543,88";"14400,68";"0,005745";3516606
"Gália";"2014";"104544,13";"15403,58";"0,005626";3516606
"Gália";"2015";"102290,54";"15199,19";"0,005273";3516606
"Garça";"2011";"750317,88";"17430,61";"0,052226";3516705
"Garça";"2012";"858995,03";"19987,78";"0,055098";3516705
"Garça";"2013";"905802,79";"21110,84";"0,052809";3516705
"Garça";"2014";"998348,78";"23305,21";"0,053727";3516705
"Garça";"2015";"1030020,43";"24083,34";"0,053097";3516705
"Gastão Vidigal";"2011";"40700,16";"9574,26";"0,002833";3516804
"Gastão Vidigal";"2012";"46790,97";"10843,79";"0,003001";3516804
"Gastão Vidigal";"2013";"50772,01";"11591,78";"0,00296";3516804
"Gastão Vidigal";"2014";"48758,77";"10966,88";"0,002624";3516804
"Gastão Vidigal";"2015";"53516,68";"11858,34";"0,002759";3516804
"Gavião Peixoto";"2011";"60665,21";"13675,65";"0,004223";3516853
"Gavião Peixoto";"2012";"87020,6";"19533,24";"0,005582";3516853
"Gavião Peixoto";"2013";"104120,38";"23261,93";"0,00607";3516853
"Gavião Peixoto";"2014";"113306,7";"25201,67";"0,006098";3516853
"Gavião Peixoto";"2015";"1070697,89";"237089,88";"0,055194";3516853
"General Salgado";"2011";"219521,62";"20567,94";"0,01528";3516903
"General Salgado";"2012";"222242,97";"20817,06";"0,014255";3516903
"General Salgado";"2013";"267114,63";"25010,73";"0,015573";3516903
"General Salgado";"2014";"271795,5";"25441,87";"0,014627";3516903
"General Salgado";"2015";"327371,63";"30635,56";"0,016876";3516903
"Getulina";"2011";"142740,23";"13254,73";"0,009935";3517000
"Getulina";"2012";"136270,86";"12645,77";"0,008741";3517000
"Getulina";"2013";"167499,13";"15533,63";"0,009765";3517000
"Getulina";"2014";"170203,83";"15774,22";"0,00916";3517000
"Getulina";"2015";"158733,44";"14701,62";"0,008183";3517000
"Glicério";"2011";"64038,97";"13970,11";"0,004457";3517109
"Glicério";"2012";"77791,74";"16896,55";"0,00499";3517109
"Glicério";"2013";"85914,73";"18580,18";"0,005009";3517109
"Glicério";"2014";"79125,43";"17041,88";"0,004258";3517109
"Glicério";"2015";"76800,8";"16466,72";"0,003959";3517109
"Guaimbê";"2011";"55383,96";"10195,87";"0,003855";3517307
"Guaimbê";"2012";"44989,31";"8270,09";"0,002886";3517307
"Guaimbê";"2013";"60835,09";"11164,45";"0,003547";3517307
"Guaimbê";"2014";"65443,01";"11992,49";"0,003522";3517307
"Guaimbê";"2015";"69671,73";"12746,38";"0,003592";3517307
"Guaíra";"2011";"1109599,68";"29536,55";"0,077234";3517406
"Guaíra";"2012";"1202021,13";"31836,56";"0,0771";3517406
"Guaíra";"2013";"1491874,09";"39316,75";"0,086978";3517406
"Guaíra";"2014";"1546205,96";"40545,59";"0,08321";3517406
"Guaíra";"2015";"1712525,24";"44681,95";"0,088279";3517406
"Guaiçara";"2011";"116919";"10836,87";"0,008138";3517208
"Guaiçara";"2012";"128146,54";"11731,81";"0,00822";3517208
"Guaiçara";"2013";"152925,26";"13829,38";"0,008916";3517208
"Guaiçara";"2014";"177655,6";"15869,19";"0,009561";3517208
"Guaiçara";"2015";"164670,51";"14528,9";"0,008489";3517208
"Guapiara";"2011";"207369,98";"11554,58";"0,014434";3517604
"Guapiara";"2012";"199846,96";"11175,87";"0,012819";3517604
"Guapiara";"2013";"332484,82";"18660,05";"0,019384";3517604
"Guapiara";"2014";"586681,04";"33045,01";"0,031573";3517604
"Guapiara";"2015";"652564,37";"36888,88";"0,033639";3517604
"Guapiaçu";"2011";"272579,07";"15014,82";"0,018973";3517505
"Guapiaçu";"2012";"288442,16";"15610,03";"0,018501";3517505
"Guapiaçu";"2013";"325294,95";"17294,64";"0,018965";3517505
"Guapiaçu";"2014";"335354,43";"17515,64";"0,018047";3517505
"Guapiaçu";"2015";"437716,09";"22459,65";"0,022564";3517505
"Guará";"2011";"319312,38";"16011,25";"0,022226";3517703
"Guará";"2012";"402649,44";"20095,3";"0,025827";3517703
"Guará";"2013";"406597,4";"20196,57";"0,023705";3517703
"Guará";"2014";"434485,15";"21481,52";"0,023382";3517703
"Guará";"2015";"443861,46";"21841,43";"0,022881";3517703
"Guaraci";"2011";"209742,8";"20830,55";"0,014599";3517901
"Guaraci";"2012";"203889,2";"20040,22";"0,013078";3517901
"Guaraci";"2013";"224329,24";"21824,03";"0,013079";3517901
"Guaraci";"2014";"244131";"23505,78";"0,013138";3517901
"Guaraci";"2015";"249953,78";"23818,73";"0,012885";3517901
"Guarani d'Oeste";"2011";"19080,74";"9710,3";"0,001328";3518008
"Guarani d'Oeste";"2012";"24565,21";"12526,88";"0,001576";3518008
"Guarani d'Oeste";"2013";"25882,8";"13232,52";"0,001509";3518008
"Guarani d'Oeste";"2014";"26129,03";"13385,77";"0,001406";3518008
"Guarani d'Oeste";"2015";"28535,46";"14656,12";"0,001471";3518008
"Guarantã";"2011";"101677,27";"15864,76";"0,007077";3518107
"Guarantã";"2012";"86140,25";"13425,85";"0,005525";3518107
"Guarantã";"2013";"113729,43";"17706,59";"0,006631";3518107
"Guarantã";"2014";"122691,38";"19081,09";"0,006603";3518107
"Guarantã";"2015";"124761,97";"19385,02";"0,006431";3518107
"Guararapes";"2011";"639406,79";"20792,36";"0,044506";3518206
"Guararapes";"2012";"693231,41";"22417,26";"0,044465";3518206
"Guararapes";"2013";"704331,35";"22649,49";"0,041063";3518206
"Guararapes";"2014";"782521,62";"25024,68";"0,042112";3518206
"Guararapes";"2015";"842563,39";"26794,83";"0,043434";3518206
"Guararema";"2011";"1247690,02";"47692,75";"0,086846";3518305
"Guararema";"2012";"1195354,68";"45077,11";"0,076673";3518305
"Guararema";"2013";"1488734,93";"55382,42";"0,086795";3518305
"Guararema";"2014";"1555846,24";"57099,47";"0,083729";3518305
"Guararema";"2015";"1549436,06";"56096,31";"0,079872";3518305
"Guaratinguetá";"2011";"3095557,63";"27471,14";"0,215467";3518404
"Guaratinguetá";"2012";"3427505,41";"30233,45";"0,219848";3518404
"Guaratinguetá";"2013";"4161441,93";"36485,63";"0,242616";3518404
"Guaratinguetá";"2014";"4471713,41";"38969,18";"0,240648";3518404
"Guaratinguetá";"2015";"4764611,6";"41271,34";"0,245612";3518404
"Guaraçaí";"2011";"176871,24";"20958,79";"0,012311";3517802
"Guaraçaí";"2012";"188435,31";"22326,46";"0,012087";3517802
"Guaraçaí";"2013";"179488,58";"21268,94";"0,010464";3517802
"Guaraçaí";"2014";"192117,93";"22762,79";"0,010339";3517802
"Guaraçaí";"2015";"204326,16";"24209,26";"0,010533";3517802
"Guareí";"2011";"173823,24";"11866,69";"0,012099";3518503
"Guareí";"2012";"168488,98";"11403,65";"0,010807";3518503
"Guareí";"2013";"198455,69";"13316,49";"0,01157";3518503
"Guareí";"2014";"196295,62";"13057,65";"0,010564";3518503
"Guareí";"2015";"207803";"13704,61";"0,010712";3518503
"Guariba";"2011";"642548,9";"17938,27";"0,044725";3518602
"Guariba";"2012";"653832,24";"18063,16";"0,041938";3518602
"Guariba";"2013";"699851,3";"19133,12";"0,040802";3518602
"Guariba";"2014";"760060,69";"20563,3";"0,040903";3518602
"Guariba";"2015";"796455,06";"21323,53";"0,041057";3518602
"Guarujá";"2011";"4993329,8";"17039,06";"0,347562";3518701
"Guarujá";"2012";"5671910,82";"19187,79";"0,363809";3518701
"Guarujá";"2013";"6768627,08";"22700,64";"0,394617";3518701
"Guarujá";"2014";"7456001,46";"24790,45";"0,401249";3518701
"Guarujá";"2015";"8197087,66";"27019,57";"0,422554";3518701
"Guarulhos";"2011";"39082623,9";"31673,96";"2,720357";3518800
"Guarulhos";"2012";"42426240,83";"34014,49";"2,721317";3518800
"Guarulhos";"2013";"47846350,37";"37948";"2,789487";3518800
"Guarulhos";"2014";"51389523,62";"40320,44";"2,76556";3518800
"Guarulhos";"2015";"52199129,57";"40515,82";"2,690829";3518800
"Guatapará";"2011";"121413,12";"17322,46";"0,008451";3518859
"Guatapará";"2012";"134741,89";"19093,37";"0,008643";3518859
"Guatapará";"2013";"210239,01";"29586,13";"0,012257";3518859
"Guatapará";"2014";"175749,58";"24563,18";"0,009458";3518859
"Guatapará";"2015";"166974,89";"23178,08";"0,008607";3518859
"Guzolândia";"2011";"51233,94";"10702,72";"0,003566";3518909
"Guzolândia";"2012";"48275,43";"10007,34";"0,003096";3518909
"Guzolândia";"2013";"51359,6";"10565,64";"0,002994";3518909
"Guzolândia";"2014";"52989,12";"10818,52";"0,002852";3518909
"Guzolândia";"2015";"55076,41";"11158,11";"0,002839";3518909
"Herculândia";"2011";"141466,6";"16173,16";"0,009847";3519006
"Herculândia";"2012";"163594,53";"18579,73";"0,010493";3519006
"Herculândia";"2013";"180694,72";"20387,53";"0,010535";3519006
"Herculândia";"2014";"212013,14";"23765,63";"0,01141";3519006
"Herculândia";"2015";"226998,87";"25278,27";"0,011702";3519006
"Holambra";"2011";"439349,56";"37884,76";"0,030581";3519055
"Holambra";"2012";"502398,88";"42055,82";"0,032225";3519055
"Holambra";"2013";"561401,74";"45616,46";"0,03273";3519055
"Holambra";"2014";"680666,61";"53688,8";"0,036631";3519055
"Holambra";"2015";"799618,04";"61226,5";"0,04122";3519055
"Hortolândia";"2011";"9108279";"46460,38";"0,633984";3519071
"Hortolândia";"2012";"8259608,94";"41330,49";"0,52979";3519071
"Hortolândia";"2013";"9018436,86";"44269,44";"0,525783";3519071
"Hortolândia";"2014";"10171816,69";"48981,85";"0,547403";3519071
"Hortolândia";"2015";"10787568,44";"50959,27";"0,556092";3519071
"Iacanga";"2011";"267655,39";"26411,62";"0,01863";3519105
"Iacanga";"2012";"289449,86";"28175,79";"0,018566";3519105
"Iacanga";"2013";"313772,12";"30129,84";"0,018293";3519105
"Iacanga";"2014";"304780,9";"28870,03";"0,016402";3519105
"Iacanga";"2015";"446426,65";"41714,32";"0,023013";3519105
"Iacri";"2011";"98900,24";"15433,87";"0,006884";3519204
"Iacri";"2012";"108268,45";"16930,17";"0,006945";3519204
"Iacri";"2013";"123416,71";"19344,31";"0,007195";3519204
"Iacri";"2014";"136197,41";"21391,14";"0,00733";3519204
"Iacri";"2015";"154292,88";"24286,62";"0,007954";3519204
"Iaras";"2011";"71571,03";"11193,47";"0,004982";3519253
"Iaras";"2012";"65149,01";"10100,62";"0,004179";3519253
"Iaras";"2013";"83633,73";"12852,89";"0,004876";3519253
"Iaras";"2014";"110865,81";"16884,83";"0,005966";3519253
"Iaras";"2015";"81803,8";"12349,61";"0,004217";3519253
"Ibaté";"2011";"516085,92";"16589,6";"0,035922";3519303
"Ibaté";"2012";"481903,26";"15285,41";"0,03091";3519303
"Ibaté";"2013";"559072,44";"17497,81";"0,032594";3519303
"Ibaté";"2014";"619797,63";"19141,37";"0,033355";3519303
"Ibaté";"2015";"673303,48";"20517,54";"0,034708";3519303
"Ibirá";"2011";"130378,49";"11843,98";"0,009075";3519402
"Ibirá";"2012";"156180,24";"14027,33";"0,010018";3519402
"Ibirá";"2013";"185238,78";"16449,59";"0,0108";3519402
"Ibirá";"2014";"206932,2";"18167,88";"0,011136";3519402
"Ibirá";"2015";"209476,31";"18182,13";"0,010798";3519402
"Ibirarema";"2011";"155762,37";"22923,09";"0,010842";3519501
"Ibirarema";"2012";"126177,24";"18350,38";"0,008093";3519501
"Ibirarema";"2013";"156174,87";"22451,82";"0,009105";3519501
"Ibirarema";"2014";"155693,87";"22121,89";"0,008379";3519501
"Ibirarema";"2015";"185147,38";"26000,19";"0,009544";3519501
"Ibitinga";"2011";"975236,04";"18168,26";"0,067882";3519600
"Ibitinga";"2012";"1072960,2";"19772,97";"0,068822";3519600
"Ibitinga";"2013";"1147202,61";"20913,36";"0,066883";3519600
"Ibitinga";"2014";"1189076,92";"21442,97";"0,063991";3519600
"Ibitinga";"2015";"1303162,13";"23247,09";"0,067177";3519600
"Ibiúna";"2011";"880025,57";"12275,6";"0,061254";3519709
"Ibiúna";"2012";"1030388,3";"14266,56";"0,066091";3519709
"Ibiúna";"2013";"1245072,2";"17111,1";"0,072589";3519709
"Ibiúna";"2014";"1438502,51";"19622,45";"0,077414";3519709
"Ibiúna";"2015";"1500166,7";"20311,77";"0,077333";3519709
"Icém";"2011";"113743,76";"15133,55";"0,007917";3519808
"Icém";"2012";"127851,04";"16873,57";"0,008201";3519808
"Icém";"2013";"151763,54";"19872,14";"0,008848";3519808
"Icém";"2014";"164301,33";"21343,38";"0,008842";3519808
"Icém";"2015";"401329,7";"51717,75";"0,020688";3519808
"Iepê";"2011";"119340,1";"15593,9";"0,008307";3519907
"Iepê";"2012";"145525,84";"18943,74";"0,009334";3519907
"Iepê";"2013";"143427,15";"18600,33";"0,008362";3519907
"Iepê";"2014";"146729,91";"18959,8";"0,007896";3519907
"Iepê";"2015";"200968,69";"25871,36";"0,01036";3519907
"Igarapava";"2011";"579025,45";"20607,35";"0,040303";3520103
"Igarapava";"2012";"658897,34";"23313,9";"0,042263";3520103
"Igarapava";"2013";"727727,65";"25598,97";"0,042427";3520103
"Igarapava";"2014";"792355,87";"27710,56";"0,042641";3520103
"Igarapava";"2015";"1029145,58";"35782,68";"0,053052";3520103
"Igaratá";"2011";"114772,34";"12930,64";"0,007989";3520202
"Igaratá";"2012";"121705,94";"13638,05";"0,007806";3520202
"Igaratá";"2013";"145517,23";"16215,43";"0,008484";3520202
"Igaratá";"2014";"161348,84";"17877,99";"0,008683";3520202
"Igaratá";"2015";"164329,04";"18107,88";"0,008471";3520202
"Igaraçu do Tietê";"2011";"200986,5";"8577,44";"0,01399";3520004
"Igaraçu do Tietê";"2012";"210971,79";"8974,09";"0,013532";3520004
"Igaraçu do Tietê";"2013";"249460,15";"10577,07";"0,014544";3520004
"Igaraçu do Tietê";"2014";"252015,26";"10651,08";"0,013562";3520004
"Igaraçu do Tietê";"2015";"268861,94";"11325,75";"0,01386";3520004
"Iguape";"2011";"835028,26";"28913,72";"0,058122";3520301
"Iguape";"2012";"1123169,42";"38823,69";"0,072043";3520301
"Iguape";"2013";"1345168,01";"46417,12";"0,078425";3520301
"Iguape";"2014";"1681114,58";"57907,57";"0,09047";3520301
"Iguape";"2015";"1105143,45";"38000,94";"0,056969";3520301
"Ilha Comprida";"2011";"92753,16";"10160,28";"0,006456";3520426
"Ilha Comprida";"2012";"1399076,08";"151169,75";"0,08974";3520426
"Ilha Comprida";"2013";"2406320,25";"256427,99";"0,140291";3520426
"Ilha Comprida";"2014";"3818605,27";"401324,78";"0,205501";3520426
"Ilha Comprida";"2015";"1860341,55";"192841,46";"0,095899";3520426
"Ilha Solteira";"2011";"387160,01";"15399,55";"0,026948";3520442
"Ilha Solteira";"2012";"440603,25";"17465,54";"0,028261";3520442
"Ilha Solteira";"2013";"465133,53";"18375,28";"0,027118";3520442
"Ilha Solteira";"2014";"505621,53";"19906,36";"0,02721";3520442
"Ilha Solteira";"2015";"527300,48";"20689";"0,027182";3520442
"Ilhabela";"2011";"829567,34";"28920,91";"0,057742";3520400
"Ilhabela";"2012";"1156934,47";"39546,56";"0,074208";3520400
"Ilhabela";"2013";"3264083,35";"109397,17";"0,190299";3520400
"Ilhabela";"2014";"6772116,69";"222540,06";"0,364446";3520400
"Ilhabela";"2015";"7164724,12";"230852,05";"0,369337";3520400
"Indaiatuba";"2011";"8136871,12";"39530,85";"0,566369";3520509
"Indaiatuba";"2012";"9224057,42";"43778,99";"0,591652";3520509
"Indaiatuba";"2013";"10567800,07";"48999,86";"0,616113";3520509
"Indaiatuba";"2014";"12058634,24";"54622,78";"0,648943";3520509
"Indaiatuba";"2015";"12158900,86";"53806,64";"0,626783";3520509
"Indiana";"2011";"41524,83";"8613,32";"0,00289";3520608
"Indiana";"2012";"43869,4";"9109,09";"0,002814";3520608
"Indiana";"2013";"50929,22";"10585,99";"0,002969";3520608
"Indiana";"2014";"56895,61";"11838,45";"0,003062";3520608
"Indiana";"2015";"59446,72";"12382,15";"0,003064";3520608
"Indiaporã";"2011";"48505,86";"12446,98";"0,003376";3520707
"Indiaporã";"2012";"57774,2";"14851,98";"0,003706";3520707
"Indiaporã";"2013";"63245,95";"16287,91";"0,003687";3520707
"Indiaporã";"2014";"62698,25";"16176,02";"0,003374";3520707
"Indiaporã";"2015";"65198,84";"16851,6";"0,003361";3520707
"Inúbia Paulista";"2011";"84808,12";"23203,32";"0,005903";3520806
"Inúbia Paulista";"2012";"97555,52";"26480,87";"0,006257";3520806
"Inúbia Paulista";"2013";"112606,24";"30335,73";"0,006565";3520806
"Inúbia Paulista";"2014";"117723,9";"31476,98";"0,006335";3520806
"Inúbia Paulista";"2015";"121417,14";"32214,68";"0,006259";3520806
"Ipaussu";"2011";"217788,12";"15854,13";"0,015159";3520905
"Ipaussu";"2012";"265446,04";"19205,99";"0,017026";3520905
"Ipaussu";"2013";"293651,65";"21116,9";"0,01712";3520905
"Ipaussu";"2014";"303087,7";"21661,5";"0,016311";3520905
"Ipaussu";"2015";"327703,07";"23277,67";"0,016893";3520905
"Iperó";"2011";"385472,83";"13368,23";"0,026831";3521002
"Iperó";"2012";"363624,55";"12332,11";"0,023324";3521002
