"Localidades";"Períodos";"Valor Adicionado Total (Em mil reais correntes)";"Valor Adicionado da Administração Pública (Em mil reais correntes)";"Valor Adicionado na Indústria (Em mil reais correntes)";"Valor Adicionado dos Serviços (Em mil reais correntes)";"Valor Adicionado da Agropecuária (Em mil reais correntes)";"Impostos sobre Produtos Líquidos de Subsídios (Em mil reais correntes)";"Participação da Administração Pública no Total do Valor Adicionado (Em %)";"Participação da Indústria no Total do Valor Adicionado (Em %)";"Participação dos Serviços no Total do Valor Adicionado (Em %)";"Participação da Agropecuária no Total do Valor Adicionado (Em %)";"Cód. IBGE"
"Batatais";"2015";"1380844,93";"221635,1";"247535,49";"1030845,78";"102463,67";"132852,87";"16,05";"17,93";"74,65";"7,42";3505906
"Bauru";"2011";"8111427,32";"907747,12";"1872730,39";"6217286,03";"21410,91";"996584,06";"11,19";"23,09";"76,65";"0,26";3506003
"Bauru";"2012";"8608290,4";"999193,89";"1528379,22";"7062972";"16939,18";"1084842,65";"11,61";"17,75";"82,05";"0,2";3506003
"Bauru";"2013";"9861023,74";"1149669,64";"1599290,39";"8239065,94";"22667,41";"1198016,59";"11,66";"16,22";"83,55";"0,23";3506003
"Bauru";"2014";"10945150,74";"1218841,23";"1692035,69";"9220855,14";"32259,91";"1191983,01";"11,14";"15,46";"84,25";"0,29";3506003
"Bauru";"2015";"11574964,76";"1308444,64";"2381720,5";"9158156,14";"35088,13";"1130674,99";"11,3";"20,58";"79,12";"0,3";3506003
"Bebedouro";"2011";"1553253,8";"214673,3";"372682,5";"1109352,31";"71218,99";"175784,03";"13,82";"23,99";"71,42";"4,59";3506102
"Bebedouro";"2012";"1751207,73";"218064,86";"417540,88";"1271413,23";"62253,62";"207106,16";"12,45";"23,84";"72,6";"3,55";3506102
"Bebedouro";"2013";"1906072,85";"260207,95";"406625,21";"1441732,77";"57714,88";"222744,56";"13,65";"21,33";"75,64";"3,03";3506102
"Bebedouro";"2014";"2110391,36";"277864,79";"459097,98";"1591659,56";"59633,83";"225921,5";"13,17";"21,75";"75,42";"2,83";3506102
"Bebedouro";"2015";"2472633,54";"290873,42";"457567,88";"1965034,96";"50030,71";"331336,95";"11,76";"18,51";"79,47";"2,02";3506102
"Bento de Abreu";"2011";"102810,39";"12285,17";"30514,7";"34954,46";"37341,23";"7083,25";"11,95";"29,68";"34";"36,32";3506201
"Bento de Abreu";"2012";"106378,42";"13776,44";"34010,64";"36966,47";"35401,31";"7434,24";"12,95";"31,97";"34,75";"33,28";3506201
"Bento de Abreu";"2013";"91471,06";"15410,23";"31860,13";"39346,52";"20264,41";"8413,02";"16,85";"34,83";"43,02";"22,15";3506201
"Bento de Abreu";"2014";"101576,75";"16472,55";"33525,78";"43596,67";"24454,3";"7992,94";"16,22";"33,01";"42,92";"24,07";3506201
"Bento de Abreu";"2015";"107767,87";"16723,72";"35472,9";"44855,7";"27439,27";"8378,24";"15,52";"32,92";"41,62";"25,46";3506201
"Bernardino de Campos";"2011";"120088,64";"26116,98";"27662,99";"75876,83";"16548,82";"7834,48";"21,75";"23,04";"63,18";"13,78";3506300
"Bernardino de Campos";"2012";"138213,08";"30241,61";"35591,68";"86760,81";"15860,59";"10381,71";"21,88";"25,75";"62,77";"11,48";3506300
"Bernardino de Campos";"2013";"158257,84";"36028,36";"37769,43";"100760,36";"19728,05";"10667,11";"22,77";"23,87";"63,67";"12,47";3506300
