"Localidades";"Períodos";"Valor Adicionado Total (Em mil reais correntes)";"Valor Adicionado da Administração Pública (Em mil reais correntes)";"Valor Adicionado na Indústria (Em mil reais correntes)";"Valor Adicionado dos Serviços (Em mil reais correntes)";"Valor Adicionado da Agropecuária (Em mil reais correntes)";"Impostos sobre Produtos Líquidos de Subsídios (Em mil reais correntes)";"Participação da Administração Pública no Total do Valor Adicionado (Em %)";"Participação da Indústria no Total do Valor Adicionado (Em %)";"Participação dos Serviços no Total do Valor Adicionado (Em %)";"Participação da Agropecuária no Total do Valor Adicionado (Em %)";"Cód. IBGE"
"Cananéia";"2011";"831167,79";"36016,86";"567485,59";"249047,98";"14634,22";"10035,64";"4,33";"68,28";"29,96";"1,76";3509908
"Cananéia";"2012";"435394,95";"40121,37";"249147,35";"170053,32";"16194,28";"7784,71";"9,21";"57,22";"39,06";"3,72";3509908
"Cananéia";"2013";"442423,89";"44980,92";"241873,43";"184688,99";"15861,47";"7827,01";"10,17";"54,67";"41,74";"3,59";3509908
"Cananéia";"2014";"398518,34";"48977,62";"195304,67";"182750,09";"20463,58";"7871,2";"12,29";"49,01";"45,86";"5,13";3509908
"Cananéia";"2015";"286289,64";"55899,56";"104147,25";"164632,8";"17509,59";"7962,99";"19,53";"36,38";"57,51";"6,12";3509908
"Canas";"2011";"65670,98";"13873,4";"25929,7";"38052,42";"1688,86";"2526,63";"21,13";"39,48";"57,94";"2,57";3509957
"Canas";"2012";"80340,08";"15283,55";"31690,08";"46443,02";"2206,98";"3832,35";"19,02";"39,44";"57,81";"2,75";3509957
"Canas";"2013";"95920,98";"17611,91";"41803,86";"52839,82";"1277,3";"4099,39";"18,36";"43,58";"55,09";"1,33";3509957
"Canas";"2014";"107020,37";"19557,14";"47375,01";"56136,45";"3508,91";"4555,77";"18,27";"44,27";"52,45";"3,28";3509957
"Canas";"2015";"138963,48";"21998,44";"49353,86";"87811";"1798,63";"14318,51";"15,83";"35,52";"63,19";"1,29";3509957
"Cândido Mota";"2011";"482216,99";"69902,36";"108373,87";"276820,47";"97022,64";"39314,32";"14,5";"22,47";"57,41";"20,12";3510005
"Cândido Mota";"2012";"556043,74";"84190,09";"124010,45";"338449,4";"93583,89";"45985,31";"15,14";"22,3";"60,87";"16,83";3510005
"Cândido Mota";"2013";"635736,14";"95261,83";"132766,18";"396744,82";"106225,14";"53866,26";"14,98";"20,88";"62,41";"16,71";3510005
"Cândido Mota";"2014";"658353,08";"108149,21";"128826,7";"449988,62";"79537,76";"55151,74";"16,43";"19,57";"68,35";"12,08";3510005
"Cândido Mota";"2015";"812489,95";"116840,06";"158041,98";"562569,58";"91878,39";"95149,97";"14,38";"19,45";"69,24";"11,31";3510005
"Cândido Rodrigues";"2011";"49499,19";"9731,01";"4962,3";"25988,83";"18548,07";"2070,25";"19,66";"10,03";"52,5";"37,47";3510104
"Cândido Rodrigues";"2012";"54599,63";"10281,43";"5813,12";"28574,01";"20212,5";"2319,3";"18,83";"10,65";"52,33";"37,02";3510104
"Cândido Rodrigues";"2013";"60578,92";"12995,17";"6385,08";"34247,81";"19946,03";"3105,24";"21,45";"10,54";"56,53";"32,93";3510104
"Cândido Rodrigues";"2014";"66621,17";"13934,47";"6883,32";"37422,92";"22314,94";"3357,2";"20,92";"10,33";"56,17";"33,5";3510104
"Cândido Rodrigues";"2015";"73251,65";"14228,49";"7294,82";"40385,5";"25571,34";"4524";"19,42";"9,96";"55,13";"34,91";3510104
"Canitar";"2011";"105934,96";"14891,31";"56062,26";"43755,81";"6116,89";"11345,11";"14,06";"52,92";"41,3";"5,77";3510153
"Canitar";"2012";"88332,92";"16984,26";"37889,94";"42885,71";"7557,26";"9452,58";"19,23";"42,89";"48,55";"8,56";3510153
"Canitar";"2013";"95488,01";"18692,34";"40897,56";"45985,02";"8605,44";"9589,48";"19,58";"42,83";"48,16";"9,01";3510153
"Canitar";"2014";"103197,46";"19666,76";"44042,43";"50302,48";"8852,55";"9910,3";"19,06";"42,68";"48,74";"8,58";3510153
"Canitar";"2015";"103555,74";"21420,25";"45451,76";"52728,69";"5375,29";"10147,98";"20,68";"43,89";"50,92";"5,19";3510153
"Capão Bonito";"2011";"520262,21";"115467,15";"69814,52";"332729,09";"117718,61";"25937,81";"22,19";"13,42";"63,95";"22,63";3510203
"Capão Bonito";"2012";"505695,22";"126375,39";"57800,71";"371934,92";"75959,59";"26487,5";"24,99";"11,43";"73,55";"15,02";3510203
"Capão Bonito";"2013";"586212,91";"145774,45";"60558,59";"441770,35";"83883,97";"31869,92";"24,87";"10,33";"75,36";"14,31";3510203
"Capão Bonito";"2014";"677352";"154068,51";"59460,08";"497267,58";"120624,33";"34911,99";"22,75";"8,78";"73,41";"17,81";3510203
"Capão Bonito";"2015";"696456,22";"161342,18";"63156,67";"520336,44";"112963,11";"40367,51";"23,17";"9,07";"74,71";"16,22";3510203
"Capela do Alto";"2011";"157031,72";"52363,37";"14289,47";"118245,48";"24496,76";"12093,58";"33,35";"9,1";"75,3";"15,6";3510302
"Capela do Alto";"2012";"161998,28";"55090,45";"15964,38";"131108,25";"14925,65";"12377,82";"34,01";"9,85";"80,93";"9,21";3510302
"Capela do Alto";"2013";"221297,21";"64843,78";"18460,91";"158274,98";"44561,33";"13506,35";"29,3";"8,34";"71,52";"20,14";3510302
"Capela do Alto";"2014";"235439,46";"68619,39";"19412,66";"170803,23";"45223,57";"12820,69";"29,15";"8,25";"72,55";"19,21";3510302
"Capela do Alto";"2015";"251542,8";"78822,26";"23198,63";"187699,4";"40644,77";"14337,31";"31,34";"9,22";"74,62";"16,16";3510302
"Capivari";"2011";"1134112,22";"133174,89";"477086,18";"606451,51";"50574,54";"183897,18";"11,74";"42,07";"53,47";"4,46";3510401
"Capivari";"2012";"1233273,96";"147499,42";"492576,74";"679359,49";"61337,74";"211079,62";"11,96";"39,94";"55,09";"4,97";3510401
"Capivari";"2013";"1327481,25";"173582,87";"494573,88";"776026,22";"56881,15";"217840,23";"13,08";"37,26";"58,46";"4,28";3510401
"Capivari";"2014";"1419353,29";"190451,57";"518371,54";"853191,42";"47790,33";"220519,79";"13,42";"36,52";"60,11";"3,37";3510401
"Capivari";"2015";"1413483,6";"206131,82";"506921,68";"859516,87";"47045,05";"214225,65";"14,58";"35,86";"60,81";"3,33";3510401
"Caraguatatuba";"2011";"1675397,59";"304209,61";"394120,24";"1277901,05";"3376,3";"154745,68";"18,16";"23,52";"76,27";"0,2";3510500
"Caraguatatuba";"2012";"2045542,3";"347066,79";"494276,4";"1547249,04";"4016,85";"154456,75";"16,97";"24,16";"75,64";"0,2";3510500
"Caraguatatuba";"2013";"2327458,87";"415637,44";"504317,13";"1816061,73";"7080,01";"177476,34";"17,86";"21,67";"78,03";"0,3";3510500
"Caraguatatuba";"2014";"2697976,7";"454116,03";"585609,33";"2104718,63";"7648,75";"187266,21";"16,83";"21,71";"78,01";"0,28";3510500
"Caraguatatuba";"2015";"2534336,15";"487817,16";"401420,5";"2124209,2";"8706,45";"185874,71";"19,25";"15,84";"83,82";"0,34";3510500
"Carapicuíba";"2011";"3099681,08";"790087,02";"608054,59";"2491530,34";"96,14";"320521,15";"25,49";"19,62";"80,38";"0";3510609
"Carapicuíba";"2012";"3440735,78";"849499,99";"622661,2";"2817962,19";"112,39";"331923,72";"24,69";"18,1";"81,9";"0";3510609
"Carapicuíba";"2013";"4026180,41";"990801,32";"709978,4";"3316063";"139,01";"375531,55";"24,61";"17,63";"82,36";"0";3510609
"Carapicuíba";"2014";"4321565,35";"1030368,09";"749239,67";"3572176,44";"149,24";"398269,99";"23,84";"17,34";"82,66";"0";3510609
"Carapicuíba";"2015";"4671023,86";"1126586,86";"821274,17";"3849571,85";"177,83";"444484,8";"24,12";"17,58";"82,41";"0";3510609
"Cardoso";"2011";"121832,6";"33358,73";"8397,31";"82346,27";"31089,01";"4109,71";"27,38";"6,89";"67,59";"25,52";3510708
"Cardoso";"2012";"162145,82";"36362,21";"10310,98";"97573,31";"54261,53";"5281,75";"22,43";"6,36";"60,18";"33,46";3510708
"Cardoso";"2013";"146851,98";"44035,37";"10105,66";"112082,32";"24664";"4763,63";"29,99";"6,88";"76,32";"16,8";3510708
"Cardoso";"2014";"172926,68";"46022,77";"10588,68";"126571,09";"35766,91";"5775,93";"26,61";"6,12";"73,19";"20,68";3510708
"Cardoso";"2015";"183737,59";"49393,34";"11283,84";"138091,93";"34361,82";"6698,47";"26,88";"6,14";"75,16";"18,7";3510708
"Casa Branca";"2011";"464264,58";"79053,45";"48090,33";"297401,35";"118772,9";"29359";"17,03";"10,36";"64,06";"25,58";3510807
"Casa Branca";"2012";"450885,72";"84626,11";"48751,54";"313955,84";"88178,34";"32452,75";"18,77";"10,81";"69,63";"19,56";3510807
"Casa Branca";"2013";"475050,58";"94862,97";"51947,13";"362121,26";"60982,2";"34225,44";"19,97";"10,94";"76,23";"12,84";3510807
"Casa Branca";"2014";"527749,46";"101821,32";"52229,35";"386283,37";"89236,75";"36874,52";"19,29";"9,9";"73,19";"16,91";3510807
"Casa Branca";"2015";"567099,02";"107938,89";"59129,73";"425692,36";"82276,93";"50686,68";"19,03";"10,43";"75,06";"14,51";3510807
"Cássia dos Coqueiros";"2011";"65626,99";"9937,02";"3241,32";"20627,12";"41758,55";"70,32";"15,14";"4,94";"31,43";"63,63";3510906
"Cássia dos Coqueiros";"2012";"79509,16";"10883,12";"3976,23";"24072,69";"51460,25";"421,67";"13,69";"5";"30,28";"64,72";3510906
"Cássia dos Coqueiros";"2013";"84694,42";"12355,74";"4214,54";"26802,65";"53677,23";"310,24";"14,59";"4,98";"31,65";"63,38";3510906
"Cássia dos Coqueiros";"2014";"95505,27";"13076,07";"4422,12";"29763,45";"61319,7";"593,33";"13,69";"4,63";"31,16";"64,21";3510906
"Cássia dos Coqueiros";"2015";"107196,7";"14154,02";"5005,95";"31030,8";"71159,95";"788,28";"13,2";"4,67";"28,95";"66,38";3510906
"Castilho";"2011";"367713,37";"65873,95";"61815,42";"201481,08";"104416,87";"28000,67";"17,91";"16,81";"54,79";"28,4";3511003
"Castilho";"2012";"394388,99";"74845,51";"72343,02";"230971,94";"91074,03";"29986,51";"18,98";"18,34";"58,56";"23,09";3511003
"Castilho";"2013";"400568,5";"86029,3";"71000,6";"271234,74";"58333,16";"31665,35";"21,48";"17,72";"67,71";"14,56";3511003
"Castilho";"2014";"424072,21";"95870,09";"76114,25";"296195,35";"51762,6";"31506,42";"22,61";"17,95";"69,85";"12,21";3511003
"Castilho";"2015";"485939,39";"97690,68";"83642,4";"353505,57";"48791,42";"48695,89";"20,1";"17,21";"72,75";"10,04";3511003
"Catanduva";"2011";"2544434,79";"304183,33";"679043,86";"1827963,55";"37427,38";"329029,48";"11,95";"26,69";"71,84";"1,47";3511102
"Catanduva";"2012";"2800258,99";"328779,67";"732894,82";"2030764,33";"36599,85";"348399,9";"11,74";"26,17";"72,52";"1,31";3511102
"Catanduva";"2013";"3043876,61";"413942,14";"666882,57";"2339031,7";"37962,34";"362147,2";"13,6";"21,91";"76,84";"1,25";3511102
"Catanduva";"2014";"3226965,33";"423139,14";"656306,16";"2529345,52";"41313,65";"350669,22";"13,11";"20,34";"78,38";"1,28";3511102
"Catanduva";"2015";"3263793,19";"450738,93";"662446,03";"2566727,23";"34619,93";"340661,25";"13,81";"20,3";"78,64";"1,06";3511102
"Catiguá";"2011";"80118,37";"18756,36";"4800,54";"52591,7";"22726,14";"5459,8";"23,41";"5,99";"65,64";"28,37";3511201
"Catiguá";"2012";"91338,33";"21650,27";"5313,18";"62693,34";"23331,81";"6249,38";"23,7";"5,82";"68,64";"25,54";3511201
"Catiguá";"2013";"102081,04";"24366,73";"6272,49";"72317,39";"23491,16";"6595,26";"23,87";"6,14";"70,84";"23,01";3511201
"Catiguá";"2014";"101188,12";"26120,45";"5978,9";"76313,6";"18895,61";"6245,01";"25,81";"5,91";"75,42";"18,67";3511201
"Catiguá";"2015";"98803,65";"28470,33";"6202,61";"75513,88";"17087,16";"6345,1";"28,82";"6,28";"76,43";"17,29";3511201
"Caçapava";"2011";"2665352,68";"221606,59";"1380867,56";"1265189,54";"19295,58";"502945,52";"8,31";"51,81";"47,47";"0,72";3508504
"Caçapava";"2012";"2780321,64";"240173,5";"1445890,29";"1326597,78";"7833,57";"529521,8";"8,64";"52";"47,71";"0,28";3508504
"Caçapava";"2013";"3012298,76";"280203,7";"1469393,72";"1522702,41";"20202,63";"583078,79";"9,3";"48,78";"50,55";"0,67";3508504
"Caçapava";"2014";"3260272,99";"294508,44";"1513133,76";"1731004,02";"16135,21";"585748,86";"9,03";"46,41";"53,09";"0,49";3508504
"Caçapava";"2015";"3007819,27";"332151,92";"1354364,92";"1640521,53";"12932,82";"539649,3";"11,04";"45,03";"54,54";"0,43";3508504
"Cedral";"2011";"150565,85";"23077,65";"43855,78";"79285,82";"27424,25";"18184,44";"15,33";"29,13";"52,66";"18,21";3511300
"Cedral";"2012";"165915,49";"26325,73";"49174,57";"90767,22";"25973,71";"21738";"15,87";"29,64";"54,71";"15,65";3511300
"Cedral";"2013";"212980,54";"30565,67";"60811,53";"125665,99";"26503,03";"25963,61";"14,35";"28,55";"59";"12,44";3511300
"Cedral";"2014";"223239,15";"32203,83";"59372,81";"137719,35";"26146,99";"28131,85";"14,43";"26,6";"61,69";"11,71";3511300
"Cedral";"2015";"232625,11";"36090,7";"59420,95";"145766,49";"27437,66";"28528,07";"15,51";"25,54";"62,66";"11,79";3511300
"Cerqueira César";"2011";"321240,59";"48186,41";"100758,88";"157750,16";"62731,55";"27183,82";"15";"31,37";"49,11";"19,53";3511409
"Cerqueira César";"2012";"385880,21";"56245,65";"144525,35";"192275,48";"49079,38";"32279,79";"14,58";"37,45";"49,83";"12,72";3511409
"Cerqueira César";"2013";"440087,97";"64021,2";"155557,9";"223071,61";"61458,46";"38714,48";"14,55";"35,35";"50,69";"13,97";3511409
"Cerqueira César";"2014";"466146,42";"68739,44";"145736,76";"257482,63";"62927,04";"41639,49";"14,75";"31,26";"55,24";"13,5";3511409
"Cerqueira César";"2015";"498028,72";"73866,46";"162963,63";"282056,34";"53008,75";"43450,51";"14,83";"32,72";"56,63";"10,64";3511409
"Cerquilho";"2011";"1171974,72";"111795,77";"585712,12";"546038,35";"40224,25";"178208,73";"9,54";"49,98";"46,59";"3,43";3511508
"Cerquilho";"2012";"1206158,73";"123230,86";"563327,34";"593913,42";"48917,97";"191801,3";"10,22";"46,7";"49,24";"4,06";3511508
"Cerquilho";"2013";"1254859,56";"144392,92";"558888,83";"649191,41";"46779,31";"197073,95";"11,51";"44,54";"51,73";"3,73";3511508
"Cerquilho";"2014";"1364948,53";"152168,16";"578789,46";"737684,13";"48474,94";"206138,19";"11,15";"42,4";"54,04";"3,55";3511508
"Cerquilho";"2015";"1377385,91";"168150,7";"548003,3";"777064,45";"52318,16";"217849,46";"12,21";"39,79";"56,42";"3,8";3511508
"Cesário Lange";"2011";"205368,39";"40453,6";"50020,6";"136007,98";"19339,81";"23163,35";"19,7";"24,36";"66,23";"9,42";3511607
"Cesário Lange";"2012";"219144,7";"46069,83";"44008,77";"154223,19";"20912,75";"27153,51";"21,02";"20,08";"70,38";"9,54";3511607
"Cesário Lange";"2013";"249909,92";"53385,49";"44932,22";"177225,07";"27752,63";"23310,23";"21,36";"17,98";"70,92";"11,11";3511607
"Cesário Lange";"2014";"277437,12";"55774,15";"48213,23";"204600,21";"24623,68";"33670,57";"20,1";"17,38";"73,75";"8,88";3511607
"Cesário Lange";"2015";"306513,02";"61853,58";"54115,72";"222386,01";"30011,29";"41450,05";"20,18";"17,66";"72,55";"9,79";3511607
"Charqueada";"2011";"253750,43";"37012,09";"96163,53";"124378,31";"33208,59";"31622,55";"14,59";"37,9";"49,02";"13,09";3511706
"Charqueada";"2012";"214969,35";"42330,95";"57789,96";"126321,81";"30857,58";"23276,25";"19,69";"26,88";"58,76";"14,35";3511706
"Charqueada";"2013";"223139,57";"50869,48";"53781,73";"140767,29";"28590,55";"20099,36";"22,8";"24,1";"63,08";"12,81";3511706
"Charqueada";"2014";"236079";"55277,85";"52943,22";"164112,14";"19023,64";"24022,31";"23,41";"22,43";"69,52";"8,06";3511706
"Charqueada";"2015";"240243,42";"58733,33";"52787,07";"169356,74";"18099,61";"23760,7";"24,45";"21,97";"70,49";"7,53";3511706
"Chavantes";"2011";"122114,22";"34692,05";"19996,51";"86617,58";"15500,14";"7612,2";"28,41";"16,38";"70,93";"12,69";3557204
"Chavantes";"2012";"143139,87";"38792,76";"17557,42";"99680,51";"25901,94";"8172,04";"27,1";"12,27";"69,64";"18,1";3557204
"Chavantes";"2013";"165182,89";"44283,94";"23272,51";"115835,22";"26075,16";"9735,89";"26,81";"14,09";"70,13";"15,79";3557204
"Chavantes";"2014";"172330,38";"45692,25";"20267,72";"123229,57";"28833,09";"10050,88";"26,51";"11,76";"71,51";"16,73";3557204
"Chavantes";"2015";"169444,38";"48690,37";"22002,36";"131076,85";"16365,17";"12435,99";"28,74";"12,99";"77,36";"9,66";3557204
"Clementina";"2011";"153958,16";"19595,9";"68179,27";"71449,63";"14329,26";"15877,07";"12,73";"44,28";"46,41";"9,31";3511904
"Clementina";"2012";"80430,93";"21669,3";"9514,77";"56898,64";"14017,53";"4668,66";"26,94";"11,83";"70,74";"17,43";3511904
"Clementina";"2013";"146791,36";"25670,67";"50728,93";"82303,65";"13758,79";"14203,04";"17,49";"34,56";"56,07";"9,37";3511904
"Clementina";"2014";"169504,36";"27746,98";"57273,58";"100306,53";"11924,25";"17024,29";"16,37";"33,79";"59,18";"7,03";3511904
"Clementina";"2015";"176948,54";"29978,29";"59129,85";"107323,65";"10495,05";"17279,61";"16,94";"33,42";"60,65";"5,93";3511904
"Colina";"2011";"484253,85";"54977,4";"208706,01";"222962";"52585,84";"87254,11";"11,35";"43,1";"46,04";"10,86";3512001
"Colina";"2012";"547185,67";"60717,93";"243995,29";"247866,55";"55323,83";"90293,5";"11,1";"44,59";"45,3";"10,11";3512001
"Colina";"2013";"570480,86";"69018,72";"227102,06";"280062,84";"63315,96";"64558,51";"12,1";"39,81";"49,09";"11,1";3512001
"Colina";"2014";"866242,03";"73518,33";"413777,13";"392962,26";"59502,64";"109227,76";"8,49";"47,77";"45,36";"6,87";3512001
"Colina";"2015";"717643,7";"77873,43";"303699,93";"359272,97";"54670,8";"86564,8";"10,85";"42,32";"50,06";"7,62";3512001
"Colômbia";"2011";"196410,01";"23717,08";"55066,71";"69019,34";"72323,96";"13811,86";"12,08";"28,04";"35,14";"36,82";3512100
"Colômbia";"2012";"200246,35";"25858,17";"72677,4";"73658,43";"53910,52";"16348,76";"12,91";"36,29";"36,78";"26,92";3512100
"Colômbia";"2013";"207783,03";"32772,45";"62890,72";"86089,39";"58802,92";"16502,64";"15,77";"30,27";"41,43";"28,3";3512100
"Colômbia";"2014";"230213,06";"33557,1";"66285,8";"94900,8";"69026,46";"17528,82";"14,58";"28,79";"41,22";"29,98";3512100
"Colômbia";"2015";"223629,74";"35452,45";"69803,07";"97001,38";"56825,29";"18977,59";"15,85";"31,21";"43,38";"25,41";3512100
"Conchal";"2011";"337891,38";"70206,8";"87612,54";"213113,68";"37165,17";"30881,77";"20,78";"25,93";"63,07";"11";3512209
"Conchal";"2012";"386229,42";"77958,8";"119214,94";"239362,85";"27651,63";"36508,96";"20,18";"30,87";"61,97";"7,16";3512209
"Conchal";"2013";"446482,1";"90155,74";"142779,98";"287621,57";"16080,56";"44250,56";"20,19";"31,98";"64,42";"3,6";3512209
"Conchal";"2014";"483695,02";"96759,66";"151242,34";"316434,97";"16017,71";"46832,8";"20";"31,27";"65,42";"3,31";3512209
"Conchal";"2015";"516674,25";"101632,36";"159271,03";"341747,02";"15656,19";"60812,15";"19,67";"30,83";"66,14";"3,03";3512209
"Conchas";"2011";"213207,76";"45148,09";"40206,9";"137877,97";"35122,89";"13698,2";"21,18";"18,86";"64,67";"16,47";3512308
"Conchas";"2012";"237048,03";"49688,15";"45825,76";"158140,23";"33082,04";"16698,96";"20,96";"19,33";"66,71";"13,96";3512308
"Conchas";"2013";"262283,57";"55628,73";"48955,74";"174605,55";"38722,28";"18734,99";"21,21";"18,67";"66,57";"14,76";3512308
"Conchas";"2014";"272606,47";"57234,71";"43970,19";"188078,4";"40557,88";"19973,45";"21";"16,13";"68,99";"14,88";3512308
"Conchas";"2015";"286403,98";"63951,58";"43164,32";"197633,9";"45605,76";"21661,45";"22,33";"15,07";"69,01";"15,92";3512308
"Cordeirópolis";"2011";"1241259,11";"81696,51";"516423,94";"688676,72";"36158,46";"150307,78";"6,58";"41,6";"55,48";"2,91";3512407
"Cordeirópolis";"2012";"1371783,6";"89021,2";"563346,59";"770759,9";"37677,11";"168245,87";"6,49";"41,07";"56,19";"2,75";3512407
"Cordeirópolis";"2013";"1423473,37";"105590,37";"597956,59";"787340,59";"38176,19";"178957,35";"7,42";"42,01";"55,31";"2,68";3512407
"Cordeirópolis";"2014";"1500598,98";"113929,35";"675998,88";"781288,66";"43311,43";"178243,98";"7,59";"45,05";"52,07";"2,89";3512407
"Cordeirópolis";"2015";"1959336,25";"124101,15";"688660,52";"1241738,99";"28936,73";"348161,03";"6,33";"35,15";"63,38";"1,48";3512407
"Coroados";"2011";"97496";"16139,96";"25186,47";"39380,46";"32929,08";"3012,28";"16,55";"25,83";"40,39";"33,77";3512506
"Coroados";"2012";"95044,84";"17411,22";"18476,67";"42688,76";"33879,41";"3923,76";"18,32";"19,44";"44,91";"35,65";3512506
"Coroados";"2013";"103275,48";"19804,19";"14949,56";"49619,67";"38706,25";"3919,29";"19,18";"14,48";"48,05";"37,48";3512506
"Coroados";"2014";"116503,39";"21223,08";"25264,69";"56291,03";"34947,67";"5116,01";"18,22";"21,69";"48,32";"30";3512506
"Coroados";"2015";"123474,58";"23134,95";"24792,02";"60281,9";"38400,66";"5515,41";"18,74";"20,08";"48,82";"31,1";3512506
"Coronel Macedo";"2011";"48471,51";"15594,65";"2956,78";"25880,11";"19634,62";"-1407,01";"32,17";"6,1";"53,39";"40,51";3512605
"Coronel Macedo";"2012";"56433,64";"16523,84";"3330,82";"28569,4";"24533,42";"-737,7";"29,28";"5,9";"50,62";"43,47";3512605
"Coronel Macedo";"2013";"56395,8";"18694,27";"3506,42";"31639,87";"21249,51";"-324,78";"33,15";"6,22";"56,1";"37,68";3512605
"Coronel Macedo";"2014";"61630,06";"19605,24";"4538,46";"33878,46";"23213,15";"-96,66";"31,81";"7,36";"54,97";"37,67";3512605
"Coronel Macedo";"2015";"64205,86";"21298,64";"3689,82";"36192,92";"24323,12";"357,88";"33,17";"5,75";"56,37";"37,88";3512605
"Corumbataí";"2011";"71468,5";"14599,78";"5082,73";"46610,09";"19775,68";"7506,97";"20,43";"7,11";"65,22";"27,67";3512704
"Corumbataí";"2012";"74438,33";"16958,08";"4649,17";"55672,3";"14116,87";"9158,94";"22,78";"6,25";"74,79";"18,96";3512704
"Corumbataí";"2013";"91054,04";"19082,44";"6753,65";"61766,51";"22533,88";"8540,21";"20,96";"7,42";"67,84";"24,75";3512704
"Corumbataí";"2014";"90299,63";"20572,09";"6679,55";"64821,67";"18798,42";"8387,44";"22,78";"7,4";"71,79";"20,82";3512704
"Corumbataí";"2015";"133926,62";"21490,98";"7500,51";"104845,07";"21581,04";"23124,18";"16,05";"5,6";"78,29";"16,11";3512704
"Cosmópolis";"2011";"845234,62";"161248,76";"244625,03";"583818,03";"16791,57";"94110,85";"19,08";"28,94";"69,07";"1,99";3512803
"Cosmópolis";"2012";"920660,29";"175427,99";"259780,56";"642739,75";"18139,99";"99055,64";"19,05";"28,22";"69,81";"1,97";3512803
"Cosmópolis";"2013";"1045637,61";"221999,21";"268522,06";"759155,35";"17960,2";"111311,39";"21,23";"25,68";"72,6";"1,72";3512803
"Cosmópolis";"2014";"1114951,57";"223013,82";"298962,69";"798971,47";"17017,4";"112177,87";"20";"26,81";"71,66";"1,53";3512803
"Cosmópolis";"2015";"1140469,28";"228370,16";"329607,81";"797025,93";"13835,55";"142911,57";"20,02";"28,9";"69,89";"1,21";3512803
"Cosmorama";"2011";"201683,17";"20194,23";"70291,9";"84390,78";"47000,48";"22536,28";"10,01";"34,85";"41,84";"23,3";3512902
"Cosmorama";"2012";"189201,58";"22667,74";"59940,85";"86410,54";"42850,19";"24588,42";"11,98";"31,68";"45,67";"22,65";3512902
"Cosmorama";"2013";"194913,67";"27464,61";"74364,79";"93330,02";"27218,87";"33766,87";"14,09";"38,15";"47,88";"13,96";3512902
"Cosmorama";"2014";"212501,19";"29700,23";"76496,4";"101295,33";"34709,46";"28534,69";"13,98";"36";"47,67";"16,33";3512902
"Cosmorama";"2015";"194190,32";"30424,04";"67716,99";"98339,77";"28133,55";"22603,79";"15,67";"34,87";"50,64";"14,49";3512902
"Cotia";"2011";"6425352,2";"519900,44";"2286669,52";"4130554,4";"8128,27";"1545979,36";"8,09";"35,59";"64,29";"0,13";3513009
"Cotia";"2012";"6873756,49";"600121,82";"2252245,04";"4613259,85";"8251,6";"1766195,73";"8,73";"32,77";"67,11";"0,12";3513009
"Cotia";"2013";"7663682,77";"740776,87";"2612762,5";"5035990,54";"14929,73";"1870732,89";"9,67";"34,09";"65,71";"0,19";3513009
"Cotia";"2014";"8141338,06";"828610,5";"2593079,18";"5527360,8";"20898,08";"1977009,56";"10,18";"31,85";"67,89";"0,26";3513009
"Cotia";"2015";"8487276,9";"858091,95";"2520042,73";"5946332,38";"20901,79";"2152000,66";"10,11";"29,69";"70,06";"0,25";3513009
"Cravinhos";"2011";"615240,15";"83537,57";"224283,94";"352936,56";"38019,66";"97434,98";"13,58";"36,45";"57,37";"6,18";3513108
"Cravinhos";"2012";"674779,8";"90999,99";"213591,85";"404014,95";"57172,99";"111118,55";"13,49";"31,65";"59,87";"8,47";3513108
"Cravinhos";"2013";"807589,17";"112746,87";"250645,3";"493309,62";"63634,25";"134682,02";"13,96";"31,04";"61,08";"7,88";3513108
"Cravinhos";"2014";"823958,52";"118526,83";"254800,71";"513959,26";"55198,56";"125506,81";"14,39";"30,92";"62,38";"6,7";3513108
"Cravinhos";"2015";"827301,95";"128817,67";"234802,13";"548744,27";"43755,55";"130990,62";"15,57";"28,38";"66,33";"5,29";3513108
"Cristais Paulista";"2011";"101426,92";"22830,24";"9758,66";"59500,85";"32167,41";"1381,55";"22,51";"9,62";"58,66";"31,71";3513207
"Cristais Paulista";"2012";"162516,01";"24759,49";"12827,64";"75773,24";"73915,14";"288,84";"15,24";"7,89";"46,63";"45,48";3513207
"Cristais Paulista";"2013";"133334";"30121,03";"9061,33";"78361,24";"45911,43";"836,65";"22,59";"6,8";"58,77";"34,43";3513207
"Cristais Paulista";"2014";"130461,92";"31313,67";"8118,64";"82529,02";"39814,25";"3493,3";"24";"6,22";"63,26";"30,52";3513207
"Cristais Paulista";"2015";"136300,43";"32899,95";"9054,24";"87737,57";"39508,62";"5295,32";"24,14";"6,64";"64,37";"28,99";3513207
"Cruzália";"2011";"43220,18";"8510,03";"2142,38";"24712,54";"16365,27";"-441,1";"19,69";"4,96";"57,18";"37,86";3513306
"Cruzália";"2012";"49328,31";"9553,88";"2513,16";"29150,32";"17664,83";"-396,54";"19,37";"5,09";"59,09";"35,81";3513306
"Cruzália";"2013";"55514,34";"10847,24";"3754,12";"32888,79";"18871,43";"61,31";"19,54";"6,76";"59,24";"33,99";3513306
"Cruzália";"2014";"52461,82";"11834,78";"4343,4";"35256,18";"12862,25";"394,68";"22,56";"8,28";"67,2";"24,52";3513306
"Cruzália";"2015";"66308,19";"12142,25";"4119,52";"48642,21";"13546,46";"4835,42";"18,31";"6,21";"73,36";"20,43";3513306
