"Localidades";"Períodos";"Consumo de Energia Elétrica - Total (Em MWh)";"Consumo de Energia Elétrica - Industrial (Em MWh)";"Consumo de Energia Elétrica -  Comércio e Serviços (Em MWh)";"Consumo de Energia Elétrica - Rural (Em MWh)";"Consumo de Energia Elétrica - Residencial (Em MWh)";"Consumo de Energia Elétrica - Iluminação e Serviços Públicos e Outros (Em MWh)";"Cód. IBGE"
"Cruzália";"2016";"4789";"34";"915";"1359";"1489";"993";3513306
"Cruzália";"2017";"5060";"33";"1036";"1459";"1519";"1014";3513306
"Cruzeiro";"2013";"278130";"180095";"23226";"1262";"61596";"11951";3513405
"Cruzeiro";"2014";"282156";"178745";"25261";"1294";"64620";"12236";3513405
"Cruzeiro";"2015";"265804";"165618";"24453";"1304";"62164";"12265";3513405
"Cruzeiro";"2016";"264632";"166520";"23889";"1286";"60919";"12018";3513405
"Cruzeiro";"2017";"270093";"170983";"23536";"1349";"62218";"12006";3513405
"Cubatão";"2013";"3818109";"3538411";"86179";"-";"91521";"101998";3513504
"Cubatão";"2014";"3664810";"3378912";"89755";"-";"100111";"96031";3513504
"Cubatão";"2015";"3400089";"3121327";"88695";"-";"96615";"93452";3513504
"Cubatão";"2016";"2501446";"2241868";"79563";"-";"90982";"89033";3513504
"Cubatão";"2017";"2390070";"2135744";"73258";"-";"89168";"91899";3513504
"Cunha";"2013";"20749";"561";"2314";"6138";"9782";"1954";3513603
"Cunha";"2014";"21533";"584";"2439";"6282";"10264";"1965";3513603
"Cunha";"2015";"21279";"608";"2511";"6128";"10133";"1898";3513603
"Cunha";"2016";"21750";"624";"2638";"6171";"10357";"1961";3513603
"Cunha";"2017";"23581";"667";"2904";"6622";"11364";"2023";3513603
"Descalvado";"2013";"129636";"62804";"11567";"19998";"26172";"9094";3513702
"Descalvado";"2014";"130342";"57086";"12520";"23962";"27538";"9237";3513702
"Descalvado";"2015";"118419";"51856";"11494";"19671";"26619";"8778";3513702
"Descalvado";"2016";"117056";"51792";"10894";"19177";"26280";"8914";3513702
"Descalvado";"2017";"117510";"49742";"11488";"20172";"27109";"8999";3513702
"Diadema";"2013";"1292326";"741610";"166631";"1";"335457";"48627";3513801
"Diadema";"2014";"1249753";"688423";"172294";"-";"341528";"47507";3513801
"Diadema";"2015";"1127447";"586267";"167353";"-";"327864";"45964";3513801
"Diadema";"2016";"1049154";"517999";"156922";"-";"329393";"44841";3513801
"Diadema";"2017";"1070038";"538508";"156937";"-";"330982";"43610";3513801
"Dirce Reis";"2013";"5369";"3232";"298";"545";"900";"394";3513850
"Dirce Reis";"2014";"5367";"3047";"317";"550";"1018";"435";3513850
"Dirce Reis";"2015";"4997";"2748";"294";"510";"1020";"425";3513850
"Dirce Reis";"2016";"4679";"2430";"272";"533";"1006";"440";3513850
"Dirce Reis";"2017";"5456";"3136";"284";"540";"1065";"431";3513850
"Divinolândia";"2013";"16878";"436";"3002";"5709";"6164";"1568";3513900
"Divinolândia";"2014";"18504";"483";"3008";"7085";"6436";"1492";3513900
"Divinolândia";"2015";"18063";"365";"2957";"6800";"6458";"1483";3513900
"Divinolândia";"2016";"18259";"745";"2821";"6505";"6719";"1469";3513900
"Divinolândia";"2017";"18665";"977";"2798";"6702";"6783";"1405";3513900
"Dobrada";"2013";"9559";"1264";"1128";"381";"5007";"1779";3514007
"Dobrada";"2014";"11172";"2592";"1173";"350";"5265";"1792";3514007
"Dobrada";"2015";"12204";"3688";"1190";"339";"5208";"1779";3514007
"Dobrada";"2016";"12298";"3731";"1147";"320";"5248";"1851";3514007
"Dobrada";"2017";"12708";"3635";"1140";"314";"5525";"2093";3514007
"Dois Córregos";"2013";"54393";"17175";"7240";"3550";"20419";"6009";3514106
"Dois Córregos";"2014";"52742";"14347";"7332";"3830";"21200";"6033";3514106
"Dois Córregos";"2015";"48347";"11158";"7105";"3698";"20489";"5897";3514106
"Dois Córregos";"2016";"48528";"11646";"6840";"3832";"20387";"5822";3514106
"Dois Córregos";"2017";"49422";"12572";"6358";"3715";"20577";"6201";3514106
"Dolcinópolis";"2013";"3311";"232";"398";"697";"1455";"529";3514205
"Dolcinópolis";"2014";"3650";"264";"447";"851";"1541";"548";3514205
"Dolcinópolis";"2015";"3464";"270";"428";"691";"1570";"504";3514205
"Dolcinópolis";"2016";"3465";"249";"406";"765";"1579";"466";3514205
"Dolcinópolis";"2017";"3735";"272";"437";"938";"1651";"438";3514205
"Dourado";"2013";"25151";"10398";"1647";"4190";"6425";"2491";3514304
"Dourado";"2014";"30406";"14916";"1773";"4595";"6569";"2553";3514304
"Dourado";"2015";"35350";"19672";"1706";"5123";"6413";"2436";3514304
"Dourado";"2016";"39062";"22799";"1703";"5236";"6510";"2814";3514304
"Dourado";"2017";"43823";"26603";"2099";"5673";"6659";"2788";3514304
"Dracena";"2013";"91517";"13379";"25721";"3904";"38098";"10415";3514403
"Dracena";"2014";"97368";"12847";"27345";"4170";"40953";"12054";3514403
"Dracena";"2015";"93352";"10523";"26997";"3697";"40259";"11875";3514403
"Dracena";"2016";"90696";"10005";"25643";"3678";"39522";"11848";3514403
"Dracena";"2017";"94780";"9866";"26880";"3971";"41746";"12316";3514403
"Duartina";"2013";"19011";"1440";"3554";"1857";"8619";"3542";3514502
"Duartina";"2014";"20554";"2063";"3815";"1986";"9191";"3498";3514502
"Duartina";"2015";"20795";"3021";"3503";"1922";"8844";"3505";3514502
"Duartina";"2016";"20791";"2892";"3457";"1860";"9001";"3582";3514502
"Duartina";"2017";"22064";"3567";"3510";"1929";"9408";"3651";3514502
"Dumont";"2013";"20143";"5698";"1823";"1806";"7309";"3508";3514601
"Dumont";"2014";"21551";"6059";"1874";"1756";"8134";"3728";3514601
"Dumont";"2015";"21201";"5836";"1823";"1878";"8046";"3618";3514601
"Dumont";"2016";"21047";"5520";"1741";"1944";"8140";"3701";3514601
"Dumont";"2017";"23112";"6740";"2248";"1635";"8424";"4064";3514601
"Echaporã";"2013";"8659";"216";"1353";"2054";"3548";"1487";3514700
"Echaporã";"2014";"9122";"222";"1444";"2199";"3732";"1524";3514700
"Echaporã";"2015";"8975";"189";"1378";"1997";"3773";"1638";3514700
"Echaporã";"2016";"9213";"173";"1327";"2071";"3966";"1675";3514700
"Echaporã";"2017";"9365";"165";"1366";"2143";"4072";"1620";3514700
"Eldorado";"2013";"11956";"262";"1943";"1913";"5992";"1845";3514809
"Eldorado";"2014";"12557";"217";"2155";"1908";"6499";"1778";3514809
"Eldorado";"2015";"12342";"168";"2090";"1866";"6310";"1907";3514809
"Eldorado";"2016";"12092";"146";"1989";"1780";"6291";"1887";3514809
"Eldorado";"2017";"12456";"127";"2066";"1870";"6569";"1824";3514809
"Elias Fausto";"2013";"76735";"51809";"4489";"4249";"12326";"3861";3514908
"Elias Fausto";"2014";"79406";"52253";"4537";"4984";"13535";"4097";3514908
"Elias Fausto";"2015";"76815";"51128";"3883";"4673";"13235";"3896";3514908
"Elias Fausto";"2016";"79804";"54038";"3609";"4771";"13457";"3929";3514908
"Elias Fausto";"2017";"79423";"52902";"3605";"4964";"13867";"4086";3514908
"Elisiário";"2013";"4312";"256";"687";"494";"2062";"813";3514924
"Elisiário";"2014";"4754";"276";"754";"520";"2264";"940";3514924
"Elisiário";"2015";"4784";"202";"789";"434";"2375";"984";3514924
"Elisiário";"2016";"4872";"152";"803";"456";"2470";"992";3514924
"Elisiário";"2017";"5063";"160";"825";"487";"2604";"988";3514924
"Embaúba";"2013";"4403";"1369";"299";"626";"1641";"468";3514957
"Embaúba";"2014";"5345";"2040";"327";"780";"1718";"480";3514957
"Embaúba";"2015";"4256";"1285";"295";"577";"1639";"460";3514957
"Embaúba";"2016";"4262";"1291";"257";"534";"1687";"493";3514957
"Embaúba";"2017";"4618";"1583";"242";"548";"1733";"513";3514957
"Embu das Artes";"2013";"471029";"178463";"68477";"1093";"202895";"20101";3515004
"Embu das Artes";"2014";"477343";"177096";"73607";"1052";"206251";"19337";3515004
"Embu das Artes";"2015";"459935";"168566";"73520";"1147";"197206";"19496";3515004
"Embu das Artes";"2016";"453751";"159587";"76272";"1178";"196144";"20570";3515004
"Embu das Artes";"2017";"471647";"167224";"83510";"1145";"197605";"22163";3515004
"Embu-Guaçu";"2013";"100293";"33508";"11167";"4924";"42266";"8428";3515103
"Embu-Guaçu";"2014";"96251";"25851";"11704";"5562";"44041";"9093";3515103
"Embu-Guaçu";"2015";"93756";"25570";"11540";"5841";"41928";"8877";3515103
"Embu-Guaçu";"2016";"92001";"25490";"11557";"5363";"41503";"8088";3515103
"Embu-Guaçu";"2017";"94538";"26748";"12665";"5754";"41352";"8019";3515103
"Emilianópolis";"2013";"3907";"139";"397";"848";"1832";"692";3515129
"Emilianópolis";"2014";"4154";"161";"440";"885";"1990";"678";3515129
"Emilianópolis";"2015";"4153";"103";"512";"862";"1995";"680";3515129
"Emilianópolis";"2016";"4091";"62";"504";"859";"1975";"692";3515129
"Emilianópolis";"2017";"4278";"70";"531";"910";"2105";"662";3515129
"Engenheiro Coelho";"2013";"94867";"69474";"7347";"6651";"9496";"1899";3515152
"Engenheiro Coelho";"2014";"84474";"58332";"7993";"5808";"10333";"2009";3515152
"Engenheiro Coelho";"2015";"75160";"49479";"8057";"5507";"10208";"1908";3515152
"Engenheiro Coelho";"2016";"79272";"49891";"8701";"7327";"11208";"2146";3515152
"Engenheiro Coelho";"2017";"92090";"59892";"9388";"8470";"12047";"2294";3515152
"Espírito Santo do Pinhal";"2013";"77464";"14989";"13595";"9826";"31246";"7807";3515186
"Espírito Santo do Pinhal";"2014";"79542";"15304";"14197";"10649";"31697";"7695";3515186
"Espírito Santo do Pinhal";"2015";"77185";"14500";"14217";"9984";"30790";"7694";3515186
"Espírito Santo do Pinhal";"2016";"76624";"14241";"13796";"10152";"30617";"7818";3515186
"Espírito Santo do Pinhal";"2017";"77048";"13879";"13135";"10631";"31355";"8047";3515186
"Espírito Santo do Turvo";"2013";"5240";"122";"666";"1060";"2354";"1038";3515194
"Espírito Santo do Turvo";"2014";"5550";"88";"746";"1145";"2531";"1040";3515194
"Espírito Santo do Turvo";"2015";"5555";"87";"702";"1253";"2509";"1004";3515194
"Espírito Santo do Turvo";"2016";"5319";"88";"622";"1194";"2514";"902";3515194
"Espírito Santo do Turvo";"2017";"5447";"90";"622";"1230";"2563";"943";3515194
"Estiva Gerbi";"2013";"19255";"6592";"3643";"515";"6393";"2113";3557303
"Estiva Gerbi";"2014";"18682";"6203";"3045";"526";"6760";"2148";3557303
"Estiva Gerbi";"2015";"17442";"5420";"2810";"498";"6654";"2061";3557303
"Estiva Gerbi";"2016";"19111";"4903";"3475";"1778";"6760";"2196";3557303
"Estiva Gerbi";"2017";"19972";"4820";"3742";"1911";"7141";"2359";3557303
"Estrela d'Oeste";"2013";"37264";"23653";"2495";"2779";"6104";"2233";3515202
"Estrela d'Oeste";"2014";"37790";"23215";"2666";"3329";"6370";"2211";3515202
"Estrela d'Oeste";"2015";"35665";"22084";"2533";"2745";"6199";"2104";3515202
"Estrela d'Oeste";"2016";"35955";"22186";"2264";"3300";"6092";"2114";3515202
"Estrela d'Oeste";"2017";"38012";"23350";"2451";"3400";"6580";"2230";3515202
"Estrela do Norte";"2013";"2963";"3";"387";"717";"1318";"539";3515301
"Estrela do Norte";"2014";"3147";"3";"397";"683";"1494";"570";3515301
"Estrela do Norte";"2015";"3063";"3";"375";"650";"1523";"512";3515301
"Estrela do Norte";"2016";"3080";"28";"327";"612";"1524";"589";3515301
"Estrela do Norte";"2017";"3292";"56";"328";"657";"1631";"619";3515301
"Euclides da Cunha Paulista";"2013";"10063";"38";"1539";"2922";"3945";"1619";3515350
"Euclides da Cunha Paulista";"2014";"10685";"61";"1643";"3080";"4256";"1644";3515350
"Euclides da Cunha Paulista";"2015";"10378";"98";"1567";"2956";"4211";"1546";3515350
"Euclides da Cunha Paulista";"2016";"10177";"77";"1349";"3192";"4026";"1533";3515350
"Euclides da Cunha Paulista";"2017";"10632";"51";"1234";"3520";"4254";"1573";3515350
"Fartura";"2013";"24191";"2538";"3942";"5734";"9277";"2699";3515400
"Fartura";"2014";"25472";"2715";"4302";"5927";"9824";"2704";3515400
"Fartura";"2015";"24759";"2646";"4013";"5804";"9658";"2638";3515400
"Fartura";"2016";"25279";"2891";"3909";"5946";"9916";"2617";3515400
"Fartura";"2017";"27232";"3507";"4172";"6545";"10424";"2583";3515400
"Fernando Prestes";"2013";"12377";"3087";"1450";"1896";"4365";"1579";3515608
"Fernando Prestes";"2014";"13675";"3231";"1622";"2597";"4602";"1623";3515608
"Fernando Prestes";"2015";"13151";"3218";"1611";"2133";"4541";"1647";3515608
"Fernando Prestes";"2016";"14069";"4076";"1547";"2189";"4618";"1638";3515608
"Fernando Prestes";"2017";"14791";"4142";"1526";"2505";"4845";"1774";3515608
"Fernandópolis";"2013";"132269";"13785";"39484";"6349";"55229";"17421";3515509
"Fernandópolis";"2014";"139905";"15036";"40785";"6489";"59808";"17787";3515509
"Fernandópolis";"2015";"135574";"12129";"40651";"5798";"59287";"17708";3515509
"Fernandópolis";"2016";"132637";"10994";"39242";"6080";"58282";"18039";3515509
"Fernandópolis";"2017";"144223";"11008";"44688";"6693";"62400";"19434";3515509
"Fernão";"2013";"2252";"162";"250";"825";"630";"385";3515657
"Fernão";"2014";"2543";"126";"327";"953";"727";"410";3515657
"Fernão";"2015";"2479";"90";"371";"913";"701";"403";3515657
"Fernão";"2016";"2487";"87";"373";"924";"701";"402";3515657
"Fernão";"2017";"2415";"57";"218";"986";"707";"447";3515657
"Ferraz de Vasconcelos";"2013";"287707";"132984";"29336";"160";"108264";"16962";3515707
"Ferraz de Vasconcelos";"2014";"284010";"125044";"31622";"152";"110188";"17003";3515707
"Ferraz de Vasconcelos";"2015";"263963";"107403";"34953";"120";"105134";"16354";3515707
"Ferraz de Vasconcelos";"2016";"262398";"102185";"35282";"135";"107555";"17240";3515707
"Ferraz de Vasconcelos";"2017";"276541";"113815";"35892";"135";"111716";"14984";3515707
"Flora Rica";"2013";"2103";"3";"231";"519";"959";"390";3515806
"Flora Rica";"2014";"2161";"3";"230";"531";"1019";"378";3515806
"Flora Rica";"2015";"2014";"3";"197";"477";"971";"366";3515806
"Flora Rica";"2016";"2029";"3";"226";"482";"957";"361";3515806
"Flora Rica";"2017";"2200";"4";"238";"512";"1053";"393";3515806
"Floreal";"2013";"5550";"267";"801";"1398";"2030";"1054";3515905
"Floreal";"2014";"6020";"292";"854";"1642";"2184";"1049";3515905
"Floreal";"2015";"5692";"251";"815";"1441";"2201";"984";3515905
"Floreal";"2016";"5400";"268";"751";"1328";"2159";"895";3515905
"Floreal";"2017";"5728";"278";"777";"1478";"2261";"933";3515905
"Flórida Paulista";"2013";"16616";"2333";"2042";"1909";"6836";"3496";3516002
"Flórida Paulista";"2014";"17138";"2340";"2178";"1966";"7061";"3593";3516002
"Flórida Paulista";"2015";"16593";"2346";"2110";"1836";"6838";"3463";3516002
"Flórida Paulista";"2016";"16318";"2487";"1903";"1740";"6731";"3457";3516002
"Flórida Paulista";"2017";"16227";"1716";"2020";"1861";"7094";"3536";3516002
"Florínia";"2013";"4624";"52";"588";"1078";"1956";"950";3516101
"Florínia";"2014";"5044";"126";"714";"1102";"2139";"964";3516101
"Florínia";"2015";"5146";"73";"706";"1122";"2141";"1103";3516101
"Florínia";"2016";"5946";"7";"873";"1455";"2162";"1449";3516101
"Florínia";"2017";"6453";"7";"893";"1611";"2264";"1677";3516101
"Franca";"2013";"701332";"161256";"140848";"7496";"287518";"104214";3516200
"Franca";"2014";"722740";"157162";"152820";"8232";"301803";"102723";3516200
"Franca";"2015";"699812";"145205";"148380";"7749";"298286";"100192";3516200
"Franca";"2016";"692866";"140951";"141722";"8131";"299621";"102440";3516200
"Franca";"2017";"700216";"138839";"140057";"8484";"308927";"103909";3516200
"Francisco Morato";"2013";"178873";"7992";"19819";"91";"90124";"60848";3516309
"Francisco Morato";"2014";"180051";"6897";"20837";"93";"91106";"61118";3516309
"Francisco Morato";"2015";"172155";"5505";"20913";"105";"87091";"58541";3516309
"Francisco Morato";"2016";"171090";"3481";"20680";"108";"87559";"59263";3516309
"Francisco Morato";"2017";"182789";"3162";"21017";"110";"92733";"65768";3516309
"Franco da Rocha";"2013";"231052";"86572";"33222";"923";"87051";"23284";3516408
"Franco da Rocha";"2014";"223746";"80120";"32961";"932";"86830";"22904";3516408
"Franco da Rocha";"2015";"212638";"74540";"33109";"891";"82171";"21926";3516408
"Franco da Rocha";"2016";"212011";"73936";"31990";"886";"83980";"21219";3516408
"Franco da Rocha";"2017";"222496";"78415";"33984";"900";"89205";"19992";3516408
"Gabriel Monteiro";"2013";"5172";"883";"571";"862";"1978";"878";3516507
"Gabriel Monteiro";"2014";"5513";"873";"595";"946";"2174";"924";3516507
"Gabriel Monteiro";"2015";"5549";"879";"579";"1000";"2199";"892";3516507
"Gabriel Monteiro";"2016";"5530";"916";"583";"943";"2227";"861";3516507
"Gabriel Monteiro";"2017";"5810";"1020";"644";"932";"2304";"910";3516507
"Gália";"2013";"10939";"1034";"1590";"2939";"3761";"1615";3516606
"Gália";"2014";"11458";"1067";"1609";"3156";"3939";"1686";3516606
"Gália";"2015";"11223";"1202";"1621";"2778";"3871";"1750";3516606
"Gália";"2016";"11179";"1066";"1553";"2883";"3975";"1702";3516606
"Gália";"2017";"11465";"1014";"1532";"3002";"4152";"1766";3516606
"Garça";"2013";"90323";"22542";"13855";"8413";"31998";"13515";3516705
"Garça";"2014";"93961";"23251";"14708";"8718";"33633";"13650";3516705
"Garça";"2015";"89160";"21529";"13994";"7300";"33144";"13194";3516705
"Garça";"2016";"85471";"19841";"12758";"7408";"32639";"12826";3516705
"Garça";"2017";"86907";"20817";"12392";"7378";"32961";"13359";3516705
"Gastão Vidigal";"2013";"5205";"220";"659";"978";"2546";"802";3516804
"Gastão Vidigal";"2014";"5334";"187";"673";"1182";"2498";"794";3516804
"Gastão Vidigal";"2015";"4806";"104";"605";"1037";"2334";"726";3516804
"Gastão Vidigal";"2016";"4841";"22";"569";"1180";"2330";"740";3516804
"Gastão Vidigal";"2017";"4967";"28";"586";"1165";"2427";"761";3516804
"Gavião Peixoto";"2013";"19949";"13422";"654";"1328";"3117";"1428";3516853
"Gavião Peixoto";"2014";"21558";"14347";"639";"1731";"3323";"1518";3516853
"Gavião Peixoto";"2015";"22468";"13739";"644";"3328";"3264";"1493";3516853
"Gavião Peixoto";"2016";"26838";"15616";"600";"5550";"3307";"1765";3516853
"Gavião Peixoto";"2017";"28354";"16012";"603";"6709";"3287";"1743";3516853
"General Salgado";"2013";"17898";"804";"3659";"2512";"7948";"2975";3516903
"General Salgado";"2014";"18743";"1058";"3745";"2540";"8350";"3051";3516903
"General Salgado";"2015";"17641";"997";"3530";"2308";"8026";"2781";3516903
"General Salgado";"2016";"16700";"445";"3316";"2387";"7925";"2626";3516903
"General Salgado";"2017";"17510";"360";"3447";"2503";"8440";"2759";3516903
"Getulina";"2013";"13827";"240";"1640";"3239";"5996";"2712";3517000
"Getulina";"2014";"14303";"255";"1685";"3179";"6281";"2903";3517000
"Getulina";"2015";"13375";"232";"1651";"2473";"6165";"2854";3517000
"Getulina";"2016";"13773";"212";"1506";"3012";"6000";"3042";3517000
"Getulina";"2017";"14250";"179";"1532";"3366";"6229";"2943";3517000
"Glicério";"2013";"11154";"2412";"1180";"2472";"3604";"1487";3517109
"Glicério";"2014";"11532";"2095";"1298";"2806";"3907";"1426";3517109
"Glicério";"2015";"10728";"1760";"1220";"2393";"3992";"1364";3517109
"Glicério";"2016";"10604";"1852";"1116";"2321";"3921";"1395";3517109
"Glicério";"2017";"10582";"1682";"1140";"2409";"3960";"1391";3517109
"Guaimbê";"2013";"6900";"753";"766";"1101";"3148";"1132";3517307
"Guaimbê";"2014";"7253";"764";"849";"1152";"3283";"1205";3517307
"Guaimbê";"2015";"7067";"798";"808";"1056";"3281";"1124";3517307
"Guaimbê";"2016";"7112";"753";"823";"1039";"3350";"1146";3517307
"Guaimbê";"2017";"7480";"933";"835";"1072";"3502";"1139";3517307
"Guaíra";"2013";"107773";"15816";"17520";"29700";"34786";"9951";3517406
"Guaíra";"2014";"118120";"19531";"16748";"33696";"37941";"10203";3517406
"Guaíra";"2015";"111641";"22649";"13436";"28408";"37218";"9931";3517406
"Guaíra";"2016";"113116";"23992";"12096";"31349";"35789";"9890";3517406
"Guaíra";"2017";"114959";"21874";"12207";"33863";"36876";"10140";3517406
"Guaiçara";"2013";"24412";"9593";"1786";"2819";"7952";"2262";3517208
"Guaiçara";"2014";"26050";"9355";"1888";"3944";"8476";"2387";3517208
"Guaiçara";"2015";"25460";"10510";"1906";"2384";"8326";"2334";3517208
"Guaiçara";"2016";"23863";"8085";"1905";"3026";"8347";"2500";3517208
"Guaiçara";"2017";"36337";"20445";"1902";"2757";"8713";"2519";3517208
"Guapiara";"2013";"35255";"22659";"1457";"2691";"6164";"2284";3517604
"Guapiara";"2014";"37389";"24312";"1610";"2820";"6323";"2325";3517604
"Guapiara";"2015";"30025";"17553";"1483";"2625";"6107";"2257";3517604
"Guapiara";"2016";"31865";"19455";"1458";"2622";"6112";"2217";3517604
"Guapiara";"2017";"33171";"19945";"1570";"2799";"6646";"2212";3517604
"Guapiaçu";"2013";"42008";"10186";"3481";"9450";"15114";"3777";3517505
"Guapiaçu";"2014";"56276";"20639";"4053";"11434";"16319";"3831";3517505
"Guapiaçu";"2015";"63916";"29578";"4162";"9957";"16425";"3794";3517505
"Guapiaçu";"2016";"64911";"30684";"4085";"10239";"16179";"3725";3517505
"Guapiaçu";"2017";"70409";"35078";"4193";"10236";"17003";"3898";3517505
"Guará";"2013";"42312";"18307";"4139";"1356";"13776";"4734";3517703
"Guará";"2014";"35033";"9491";"4343";"1514";"14902";"4782";3517703
"Guará";"2015";"31690";"4390";"6358";"1480";"14794";"4668";3517703
"Guará";"2016";"28755";"2027";"6222";"1339";"14458";"4709";3517703
"Guará";"2017";"31494";"2793";"7770";"1373";"14725";"4833";3517703
"Guaraci";"2013";"17227";"2106";"1902";"3052";"7391";"2776";3517901
"Guaraci";"2014";"17747";"1349";"2142";"3640";"7894";"2722";3517901
"Guaraci";"2015";"17192";"1505";"2005";"3175";"7798";"2710";3517901
"Guaraci";"2016";"17200";"1482";"1786";"3531";"7708";"2692";3517901
"Guaraci";"2017";"18395";"1844";"1787";"3790";"8191";"2783";3517901
"Guarani d'Oeste";"2013";"3835";"387";"303";"588";"1293";"1263";3518008
"Guarani d'Oeste";"2014";"3953";"391";"300";"583";"1362";"1318";3518008
"Guarani d'Oeste";"2015";"3656";"357";"247";"505";"1391";"1155";3518008
"Guarani d'Oeste";"2016";"3536";"317";"218";"488";"1393";"1120";3518008
"Guarani d'Oeste";"2017";"3848";"421";"250";"554";"1452";"1171";3518008
"Guarantã";"2013";"14049";"5080";"1531";"1880";"4156";"1401";3518107
"Guarantã";"2014";"14246";"4931";"1568";"1826";"4483";"1439";3518107
"Guarantã";"2015";"16496";"7103";"1686";"1959";"4355";"1393";3518107
"Guarantã";"2016";"15678";"6000";"1285";"2645";"4329";"1420";3518107
"Guarantã";"2017";"17813";"7653";"1333";"2837";"4553";"1438";3518107
"Guararapes";"2013";"75144";"26223";"9268";"6732";"26477";"6444";3518206
"Guararapes";"2014";"81472";"28192";"9982";"7893";"28765";"6641";3518206
"Guararapes";"2015";"83046";"26801";"11744";"9716";"28387";"6398";3518206
"Guararapes";"2016";"83111";"27388";"10834";"9914";"28187";"6788";3518206
"Guararapes";"2017";"84210";"28412";"9049";"10775";"29168";"6807";3518206
"Guararema";"2013";"144505";"93609";"12570";"4221";"24331";"9774";3518305
"Guararema";"2014";"147313";"92443";"14078";"4373";"25631";"10788";3518305
"Guararema";"2015";"138894";"84152";"14482";"3926";"25125";"11209";3518305
"Guararema";"2016";"169193";"114214";"14871";"3689";"25352";"11068";3518305
"Guararema";"2017";"177902";"119198";"15399";"3544";"26431";"13329";3518305
"Guaratinguetá";"2013";"373197";"178919";"56990";"4689";"100796";"31803";3518404
"Guaratinguetá";"2014";"422811";"219917";"59729";"5086";"105473";"32605";3518404
"Guaratinguetá";"2015";"401348";"201694";"59338";"4854";"103668";"31795";3518404
"Guaratinguetá";"2016";"396479";"199364";"58376";"4830";"102832";"31078";3518404
"Guaratinguetá";"2017";"403301";"200109";"59826";"5205";"106305";"31855";3518404
"Guaraçaí";"2013";"12955";"1879";"1899";"2340";"5255";"1581";3517802
"Guaraçaí";"2014";"13832";"1948";"2030";"2568";"5703";"1583";3517802
"Guaraçaí";"2015";"13320";"2001";"1919";"2347";"5568";"1484";3517802
"Guaraçaí";"2016";"13298";"2151";"1835";"2281";"5547";"1484";3517802
"Guaraçaí";"2017";"14180";"2400";"1994";"2358";"5869";"1561";3517802
"Guareí";"2013";"20070";"2688";"1438";"5239";"6626";"4079";3518503
"Guareí";"2014";"20992";"2730";"1522";"5873";"7007";"3860";3518503
"Guareí";"2015";"20568";"2596";"1404";"5741";"6986";"3842";3518503
"Guareí";"2016";"19581";"2441";"1307";"5566";"6987";"3279";3518503
"Guareí";"2017";"20570";"2852";"1298";"6007";"7100";"3312";3518503
"Guariba";"2013";"51784";"8355";"7835";"2192";"26683";"6718";3518602
"Guariba";"2014";"53991";"7928";"8719";"1990";"28361";"6994";3518602
"Guariba";"2015";"52964";"7849";"7957";"1783";"27853";"7522";3518602
"Guariba";"2016";"173207";"9001";"42403";"2025";"100163";"19616";3518602
"Guariba";"2017";"53402";"7349";"7306";"1908";"28505";"8333";3518602
"Guarujá";"2013";"757711";"77792";"268608";"977";"308262";"102073";3518701
"Guarujá";"2014";"747593";"78695";"274408";"887";"329697";"63907";3518701
"Guarujá";"2015";"719390";"86827";"256058";"963";"313496";"62046";3518701
"Guarujá";"2016";"566530";"80280";"210666";"1023";"224520";"50043";3518701
"Guarujá";"2017";"715088";"88274";"250312";"1144";"308661";"66697";3518701
"Guarulhos";"2013";"3386628";"1607997";"741939";"941";"864004";"171747";3518800
"Guarulhos";"2014";"3409449";"1534576";"822279";"904";"884825";"166865";3518800
"Guarulhos";"2015";"3203592";"1365518";"822825";"790";"862347";"152111";3518800
"Guarulhos";"2016";"3149678";"1286525";"824660";"804";"877544";"160145";3518800
"Guarulhos";"2017";"3175477";"1305106";"817139";"869";"899065";"153298";3518800
"Guatapará";"2013";"13679";"1738";"2376";"3006";"5308";"1251";3518859
"Guatapará";"2014";"14371";"1715";"2426";"3206";"5712";"1312";3518859
"Guatapará";"2015";"14363";"1653";"2581";"3169";"5475";"1485";3518859
"Guatapará";"2016";"13249";"1411";"2183";"2971";"5333";"1351";3518859
"Guatapará";"2017";"13437";"1292";"2103";"2968";"5712";"1362";3518859
"Guzolândia";"2013";"6125";"214";"746";"1557";"2556";"1051";3518909
"Guzolândia";"2014";"6390";"187";"751";"1693";"2711";"1047";3518909
"Guzolândia";"2015";"6099";"136";"720";"1530";"2674";"1039";3518909
"Guzolândia";"2016";"5962";"127";"670";"1481";"2629";"1054";3518909
"Guzolândia";"2017";"6377";"146";"715";"1566";"2844";"1108";3518909
"Herculândia";"2013";"17843";"6520";"1595";"1760";"5950";"2019";3519006
"Herculândia";"2014";"18635";"6695";"1755";"1979";"6277";"1929";3519006
"Herculândia";"2015";"17743";"6107";"1867";"1726";"6177";"1865";3519006
"Herculândia";"2016";"17792";"5954";"1980";"1725";"6263";"1870";3519006
"Herculândia";"2017";"19367";"6849";"2218";"1815";"6545";"1940";3519006
"Holambra";"2013";"106560";"1";"-";"106302";"221";"36";3519055
"Holambra";"2014";"76987";"20306";"8499";"35051";"8994";"4138";3519055
"Holambra";"2015";"77116";"21026";"8583";"34221";"8924";"4363";3519055
"Holambra";"2016";"75085";"19620";"7900";"33744";"8921";"4900";3519055
